"id","opportunity","percentile","cutoff","accessibility"
"1","Bodies of water",50,15,0
"2","Bodies of water",50,15,1
"3","Bodies of water",50,15,0
"4","Bodies of water",50,15,0
"5","Bodies of water",50,15,0
"6","Bodies of water",50,15,0
"7","Bodies of water",50,15,0
"8","Bodies of water",50,15,0
"9","Bodies of water",50,15,0
"10","Bodies of water",50,15,0
"11","Bodies of water",50,15,1
"12","Bodies of water",50,15,0
"13","Bodies of water",50,15,0
"14","Bodies of water",50,15,0
"15","Bodies of water",50,15,0
"16","Bodies of water",50,15,1
"17","Bodies of water",50,15,1
"18","Bodies of water",50,15,0
"19","Bodies of water",50,15,0
"20","Bodies of water",50,15,1
"21","Bodies of water",50,15,0
"22","Bodies of water",50,15,0
"23","Bodies of water",50,15,0
"24","Bodies of water",50,15,0
"25","Bodies of water",50,15,0
"26","Bodies of water",50,15,0
"27","Bodies of water",50,15,0
"28","Bodies of water",50,15,1
"29","Bodies of water",50,15,0
"30","Bodies of water",50,15,0
"31","Bodies of water",50,15,0
"32","Bodies of water",50,15,0
"33","Bodies of water",50,15,0
"34","Bodies of water",50,15,0
"35","Bodies of water",50,15,0
"36","Bodies of water",50,15,1
"37","Bodies of water",50,15,0
"38","Bodies of water",50,15,0
"39","Bodies of water",50,15,0
"40","Bodies of water",50,15,0
"41","Bodies of water",50,15,0
"42","Bodies of water",50,15,0
"43","Bodies of water",50,15,0
"44","Bodies of water",50,15,0
"45","Bodies of water",50,15,0
"46","Bodies of water",50,15,0
"47","Bodies of water",50,15,0
"48","Bodies of water",50,15,0
"49","Bodies of water",50,15,0
"50","Bodies of water",50,15,0
"51","Bodies of water",50,15,0
"52","Bodies of water",50,15,0
"53","Bodies of water",50,15,0
"54","Bodies of water",50,15,0
"55","Bodies of water",50,15,0
"56","Bodies of water",50,15,0
"57","Bodies of water",50,15,1
"58","Bodies of water",50,15,0
"59","Bodies of water",50,15,0
"60","Bodies of water",50,15,0
"61","Bodies of water",50,15,0
"62","Bodies of water",50,15,0
"63","Bodies of water",50,15,0
"64","Bodies of water",50,15,0
"65","Bodies of water",50,15,0
"66","Bodies of water",50,15,0
"67","Bodies of water",50,15,0
"68","Bodies of water",50,15,0
"69","Bodies of water",50,15,0
"70","Bodies of water",50,15,0
"71","Bodies of water",50,15,0
"72","Bodies of water",50,15,0
"73","Bodies of water",50,15,0
"74","Bodies of water",50,15,0
"75","Bodies of water",50,15,0
"76","Bodies of water",50,15,0
"77","Bodies of water",50,15,0
"78","Bodies of water",50,15,0
"79","Bodies of water",50,15,0
"80","Bodies of water",50,15,1
"81","Bodies of water",50,15,0
"82","Bodies of water",50,15,0
"83","Bodies of water",50,15,0
"84","Bodies of water",50,15,0
"85","Bodies of water",50,15,0
"86","Bodies of water",50,15,0
"87","Bodies of water",50,15,0
"88","Bodies of water",50,15,0
"89","Bodies of water",50,15,0
"90","Bodies of water",50,15,0
"91","Bodies of water",50,15,1
"92","Bodies of water",50,15,0
"93","Bodies of water",50,15,0
"94","Bodies of water",50,15,0
"95","Bodies of water",50,15,0
"96","Bodies of water",50,15,0
"97","Bodies of water",50,15,0
"98","Bodies of water",50,15,0
"99","Bodies of water",50,15,0
"100","Bodies of water",50,15,1
"101","Bodies of water",50,15,0
"102","Bodies of water",50,15,0
"103","Bodies of water",50,15,0
"104","Bodies of water",50,15,0
"105","Bodies of water",50,15,0
"106","Bodies of water",50,15,0
"107","Bodies of water",50,15,0
"108","Bodies of water",50,15,0
"109","Bodies of water",50,15,0
"110","Bodies of water",50,15,0
"111","Bodies of water",50,15,0
"112","Bodies of water",50,15,0
"113","Bodies of water",50,15,0
"114","Bodies of water",50,15,0
"115","Bodies of water",50,15,0
"116","Bodies of water",50,15,0
"117","Bodies of water",50,15,2
"118","Bodies of water",50,15,0
"119","Bodies of water",50,15,0
"120","Bodies of water",50,15,0
"121","Bodies of water",50,15,0
"122","Bodies of water",50,15,0
"123","Bodies of water",50,15,0
"124","Bodies of water",50,15,0
"125","Bodies of water",50,15,0
"126","Bodies of water",50,15,0
"127","Bodies of water",50,15,0
"128","Bodies of water",50,15,0
"129","Bodies of water",50,15,0
"130","Bodies of water",50,15,0
"131","Bodies of water",50,15,0
"132","Bodies of water",50,15,0
"133","Bodies of water",50,15,0
"134","Bodies of water",50,15,1
"135","Bodies of water",50,15,0
"136","Bodies of water",50,15,0
"137","Bodies of water",50,15,0
"138","Bodies of water",50,15,0
"139","Bodies of water",50,15,0
"140","Bodies of water",50,15,0
"141","Bodies of water",50,15,0
"142","Bodies of water",50,15,0
"143","Bodies of water",50,15,0
"144","Bodies of water",50,15,0
"145","Bodies of water",50,15,0
"146","Bodies of water",50,15,0
"147","Bodies of water",50,15,1
"148","Bodies of water",50,15,1
"149","Bodies of water",50,15,0
"150","Bodies of water",50,15,0
"151","Bodies of water",50,15,0
"152","Bodies of water",50,15,0
"153","Bodies of water",50,15,0
"154","Bodies of water",50,15,0
"155","Bodies of water",50,15,0
"156","Bodies of water",50,15,0
"157","Bodies of water",50,15,0
"158","Bodies of water",50,15,0
"159","Bodies of water",50,15,0
"160","Bodies of water",50,15,0
"161","Bodies of water",50,15,1
"162","Bodies of water",50,15,0
"163","Bodies of water",50,15,0
"164","Bodies of water",50,15,0
"165","Bodies of water",50,15,0
"166","Bodies of water",50,15,1
"167","Bodies of water",50,15,0
"168","Bodies of water",50,15,0
"169","Bodies of water",50,15,0
"170","Bodies of water",50,15,0
"171","Bodies of water",50,15,1
"172","Bodies of water",50,15,0
"173","Bodies of water",50,15,0
"174","Bodies of water",50,15,0
"175","Bodies of water",50,15,0
"176","Bodies of water",50,15,0
"177","Bodies of water",50,15,1
"178","Bodies of water",50,15,1
"179","Bodies of water",50,15,1
"180","Bodies of water",50,15,0
"181","Bodies of water",50,15,0
"182","Bodies of water",50,15,0
"183","Bodies of water",50,15,0
"184","Bodies of water",50,15,0
"185","Bodies of water",50,15,0
"186","Bodies of water",50,15,0
"187","Bodies of water",50,15,0
"188","Bodies of water",50,15,0
"189","Bodies of water",50,15,0
