"id","opportunity","percentile","cutoff","accessibility"
"1","Tourism",50,15,0
"2","Tourism",50,15,2
"3","Tourism",50,15,0
"4","Tourism",50,15,0
"5","Tourism",50,15,0
"6","Tourism",50,15,0
"7","Tourism",50,15,0
"8","Tourism",50,15,0
"9","Tourism",50,15,0
"10","Tourism",50,15,1
"11","Tourism",50,15,0
"12","Tourism",50,15,0
"13","Tourism",50,15,1
"14","Tourism",50,15,0
"15","Tourism",50,15,0
"16","Tourism",50,15,0
"17","Tourism",50,15,0
"18","Tourism",50,15,2
"19","Tourism",50,15,0
"20","Tourism",50,15,0
"21","Tourism",50,15,3
"22","Tourism",50,15,0
"23","Tourism",50,15,0
"24","Tourism",50,15,0
"25","Tourism",50,15,0
"26","Tourism",50,15,0
"27","Tourism",50,15,0
"28","Tourism",50,15,1
"29","Tourism",50,15,0
"30","Tourism",50,15,0
"31","Tourism",50,15,0
"32","Tourism",50,15,0
"33","Tourism",50,15,0
"34","Tourism",50,15,0
"35","Tourism",50,15,0
"36","Tourism",50,15,0
"37","Tourism",50,15,0
"38","Tourism",50,15,2
"39","Tourism",50,15,10
"40","Tourism",50,15,2
"41","Tourism",50,15,2
"42","Tourism",50,15,2
"43","Tourism",50,15,0
"44","Tourism",50,15,2
"45","Tourism",50,15,0
"46","Tourism",50,15,2
"47","Tourism",50,15,2
"48","Tourism",50,15,2
"49","Tourism",50,15,2
"50","Tourism",50,15,2
"51","Tourism",50,15,2
"52","Tourism",50,15,1
"53","Tourism",50,15,5
"54","Tourism",50,15,3
"55","Tourism",50,15,1
"56","Tourism",50,15,0
"57","Tourism",50,15,10
"58","Tourism",50,15,22
"59","Tourism",50,15,0
"60","Tourism",50,15,37
"61","Tourism",50,15,37
"62","Tourism",50,15,1
"63","Tourism",50,15,3
"64","Tourism",50,15,3
"65","Tourism",50,15,1
"66","Tourism",50,15,1
"67","Tourism",50,15,3
"68","Tourism",50,15,1
"69","Tourism",50,15,1
"70","Tourism",50,15,0
"71","Tourism",50,15,0
"72","Tourism",50,15,1
"73","Tourism",50,15,1
"74","Tourism",50,15,2
"75","Tourism",50,15,0
"76","Tourism",50,15,13
"77","Tourism",50,15,1
"78","Tourism",50,15,0
"79","Tourism",50,15,7
"80","Tourism",50,15,4
"81","Tourism",50,15,0
"82","Tourism",50,15,2
"83","Tourism",50,15,2
"84","Tourism",50,15,2
"85","Tourism",50,15,2
"86","Tourism",50,15,1
"87","Tourism",50,15,1
"88","Tourism",50,15,2
"89","Tourism",50,15,13
"90","Tourism",50,15,8
"91","Tourism",50,15,11
"92","Tourism",50,15,0
"93","Tourism",50,15,1
"94","Tourism",50,15,0
"95","Tourism",50,15,60
"96","Tourism",50,15,0
"97","Tourism",50,15,0
"98","Tourism",50,15,2
"99","Tourism",50,15,5
"100","Tourism",50,15,2
"101","Tourism",50,15,2
"102","Tourism",50,15,3
"103","Tourism",50,15,2
"104","Tourism",50,15,2
"105","Tourism",50,15,0
"106","Tourism",50,15,7
"107","Tourism",50,15,2
"108","Tourism",50,15,37
"109","Tourism",50,15,6
"110","Tourism",50,15,37
"111","Tourism",50,15,1
"112","Tourism",50,15,1
"113","Tourism",50,15,1
"114","Tourism",50,15,3
"115","Tourism",50,15,3
"116","Tourism",50,15,0
"117","Tourism",50,15,2
"118","Tourism",50,15,3
"119","Tourism",50,15,6
"120","Tourism",50,15,0
"121","Tourism",50,15,1
"122","Tourism",50,15,1
"123","Tourism",50,15,3
"124","Tourism",50,15,2
"125","Tourism",50,15,3
"126","Tourism",50,15,3
"127","Tourism",50,15,1
"128","Tourism",50,15,37
"129","Tourism",50,15,5
"130","Tourism",50,15,2
"131","Tourism",50,15,4
"132","Tourism",50,15,5
"133","Tourism",50,15,0
"134","Tourism",50,15,1
"135","Tourism",50,15,3
"136","Tourism",50,15,4
"137","Tourism",50,15,5
"138","Tourism",50,15,6
"139","Tourism",50,15,1
"140","Tourism",50,15,0
"141","Tourism",50,15,7
"142","Tourism",50,15,1
"143","Tourism",50,15,1
"144","Tourism",50,15,7
"145","Tourism",50,15,1
"146","Tourism",50,15,0
"147","Tourism",50,15,16
"148","Tourism",50,15,16
"149","Tourism",50,15,6
"150","Tourism",50,15,0
"151","Tourism",50,15,8
"152","Tourism",50,15,4
"153","Tourism",50,15,0
"154","Tourism",50,15,1
"155","Tourism",50,15,7
"156","Tourism",50,15,3
"157","Tourism",50,15,2
"158","Tourism",50,15,2
"159","Tourism",50,15,1
"160","Tourism",50,15,1
"161","Tourism",50,15,87
"162","Tourism",50,15,4
"163","Tourism",50,15,0
"164","Tourism",50,15,8
"165","Tourism",50,15,1
"166","Tourism",50,15,1
"167","Tourism",50,15,6
"168","Tourism",50,15,4
"169","Tourism",50,15,2
"170","Tourism",50,15,1
"171","Tourism",50,15,4
"172","Tourism",50,15,5
"173","Tourism",50,15,1
"174","Tourism",50,15,0
"175","Tourism",50,15,1
"176","Tourism",50,15,0
"177","Tourism",50,15,13
"178","Tourism",50,15,63
"179","Tourism",50,15,9
"180","Tourism",50,15,3
"181","Tourism",50,15,3
"182","Tourism",50,15,1
"183","Tourism",50,15,3
"184","Tourism",50,15,4
"185","Tourism",50,15,0
"186","Tourism",50,15,3
"187","Tourism",50,15,1
"188","Tourism",50,15,4
"189","Tourism",50,15,1
"190","Tourism",50,15,1
"191","Tourism",50,15,1
"192","Tourism",50,15,1
"193","Tourism",50,15,0
"194","Tourism",50,15,2
"195","Tourism",50,15,4
"196","Tourism",50,15,1
"197","Tourism",50,15,0
"198","Tourism",50,15,0
"199","Tourism",50,15,0
"200","Tourism",50,15,4
"201","Tourism",50,15,2
"202","Tourism",50,15,0
"203","Tourism",50,15,2
"204","Tourism",50,15,3
"205","Tourism",50,15,1
"206","Tourism",50,15,3
"207","Tourism",50,15,0
"208","Tourism",50,15,0
"209","Tourism",50,15,0
"210","Tourism",50,15,0
"211","Tourism",50,15,2
"212","Tourism",50,15,0
"213","Tourism",50,15,0
"214","Tourism",50,15,0
"215","Tourism",50,15,0
"216","Tourism",50,15,0
"217","Tourism",50,15,1
"218","Tourism",50,15,6
"219","Tourism",50,15,0
"220","Tourism",50,15,1
"221","Tourism",50,15,0
"222","Tourism",50,15,1
"223","Tourism",50,15,1
"224","Tourism",50,15,0
"225","Tourism",50,15,0
"226","Tourism",50,15,0
"227","Tourism",50,15,2
"228","Tourism",50,15,0
"229","Tourism",50,15,0
"230","Tourism",50,15,0
"231","Tourism",50,15,5
"232","Tourism",50,15,0
"233","Tourism",50,15,0
"234","Tourism",50,15,0
"235","Tourism",50,15,0
"236","Tourism",50,15,1
"237","Tourism",50,15,0
"238","Tourism",50,15,0
"239","Tourism",50,15,0
"240","Tourism",50,15,2
"241","Tourism",50,15,0
"242","Tourism",50,15,1
"243","Tourism",50,15,0
"244","Tourism",50,15,2
"245","Tourism",50,15,0
"246","Tourism",50,15,0
"247","Tourism",50,15,0
"248","Tourism",50,15,0
"249","Tourism",50,15,0
"250","Tourism",50,15,0
"251","Tourism",50,15,0
