"id","opportunity","percentile","cutoff","accessibility"
"1","Entertainment",50,15,3
"2","Entertainment",50,15,4
"3","Entertainment",50,15,0
"4","Entertainment",50,15,0
"5","Entertainment",50,15,0
"6","Entertainment",50,15,1
"7","Entertainment",50,15,3
"8","Entertainment",50,15,0
"9","Entertainment",50,15,1
"10","Entertainment",50,15,3
"11","Entertainment",50,15,2
"12","Entertainment",50,15,1
"13","Entertainment",50,15,5
"14","Entertainment",50,15,3
"15","Entertainment",50,15,0
"16","Entertainment",50,15,0
"17","Entertainment",50,15,2
"18","Entertainment",50,15,4
"19","Entertainment",50,15,3
"20","Entertainment",50,15,0
"21","Entertainment",50,15,5
"22","Entertainment",50,15,3
"23","Entertainment",50,15,0
"24","Entertainment",50,15,0
"25","Entertainment",50,15,0
"26","Entertainment",50,15,0
"27","Entertainment",50,15,1
"28","Entertainment",50,15,5
"29","Entertainment",50,15,0
"30","Entertainment",50,15,1
"31","Entertainment",50,15,1
"32","Entertainment",50,15,2
"33","Entertainment",50,15,2
"34","Entertainment",50,15,1
"35","Entertainment",50,15,1
"36","Entertainment",50,15,4
"37","Entertainment",50,15,1
"38","Entertainment",50,15,0
"39","Entertainment",50,15,4
"40","Entertainment",50,15,0
"41","Entertainment",50,15,4
"42","Entertainment",50,15,0
"43","Entertainment",50,15,0
"44","Entertainment",50,15,0
"45","Entertainment",50,15,0
"46","Entertainment",50,15,4
"47","Entertainment",50,15,0
"48","Entertainment",50,15,0
"49","Entertainment",50,15,0
"50","Entertainment",50,15,0
"51","Entertainment",50,15,0
"52","Entertainment",50,15,2
"53","Entertainment",50,15,0
"54","Entertainment",50,15,0
"55","Entertainment",50,15,2
"56","Entertainment",50,15,0
"57","Entertainment",50,15,4
"58","Entertainment",50,15,6
"59","Entertainment",50,15,0
"60","Entertainment",50,15,76
"61","Entertainment",50,15,76
"62","Entertainment",50,15,0
"63","Entertainment",50,15,2
"64","Entertainment",50,15,2
"65","Entertainment",50,15,0
"66","Entertainment",50,15,4
"67","Entertainment",50,15,6
"68","Entertainment",50,15,2
"69","Entertainment",50,15,1
"70","Entertainment",50,15,1
"71","Entertainment",50,15,1
"72","Entertainment",50,15,4
"73","Entertainment",50,15,0
"74","Entertainment",50,15,5
"75","Entertainment",50,15,1
"76","Entertainment",50,15,5
"77","Entertainment",50,15,1
"78","Entertainment",50,15,0
"79","Entertainment",50,15,3
"80","Entertainment",50,15,1
"81","Entertainment",50,15,3
"82","Entertainment",50,15,4
"83","Entertainment",50,15,4
"84","Entertainment",50,15,4
"85","Entertainment",50,15,4
"86","Entertainment",50,15,4
"87","Entertainment",50,15,1
"88","Entertainment",50,15,5
"89","Entertainment",50,15,5
"90","Entertainment",50,15,4
"91","Entertainment",50,15,7
"92","Entertainment",50,15,0
"93","Entertainment",50,15,0
"94","Entertainment",50,15,2
"95","Entertainment",50,15,9
"96","Entertainment",50,15,0
"97","Entertainment",50,15,0
"98","Entertainment",50,15,4
"99","Entertainment",50,15,8
"100","Entertainment",50,15,7
"101","Entertainment",50,15,1
"102","Entertainment",50,15,1
"103","Entertainment",50,15,1
"104","Entertainment",50,15,1
"105","Entertainment",50,15,2
"106","Entertainment",50,15,2
"107","Entertainment",50,15,4
"108","Entertainment",50,15,76
"109","Entertainment",50,15,5
"110","Entertainment",50,15,76
"111","Entertainment",50,15,5
"112","Entertainment",50,15,1
"113","Entertainment",50,15,0
"114","Entertainment",50,15,1
"115","Entertainment",50,15,2
"116","Entertainment",50,15,0
"117","Entertainment",50,15,1
"118","Entertainment",50,15,7
"119","Entertainment",50,15,9
"120","Entertainment",50,15,0
"121","Entertainment",50,15,1
"122","Entertainment",50,15,3
"123","Entertainment",50,15,2
"124","Entertainment",50,15,6
"125","Entertainment",50,15,4
"126","Entertainment",50,15,3
"127","Entertainment",50,15,1
"128","Entertainment",50,15,76
"129","Entertainment",50,15,0
"130","Entertainment",50,15,6
"131","Entertainment",50,15,8
"132","Entertainment",50,15,0
"133","Entertainment",50,15,1
"134","Entertainment",50,15,2
"135","Entertainment",50,15,3
"136","Entertainment",50,15,5
"137","Entertainment",50,15,2
"138","Entertainment",50,15,1
"139","Entertainment",50,15,6
"140","Entertainment",50,15,1
"141","Entertainment",50,15,14
"142","Entertainment",50,15,4
"143","Entertainment",50,15,1
"144","Entertainment",50,15,14
"145","Entertainment",50,15,2
"146","Entertainment",50,15,1
"147","Entertainment",50,15,16
"148","Entertainment",50,15,16
"149","Entertainment",50,15,2
"150","Entertainment",50,15,0
"151","Entertainment",50,15,7
"152","Entertainment",50,15,3
"153","Entertainment",50,15,1
"154","Entertainment",50,15,0
"155","Entertainment",50,15,4
"156","Entertainment",50,15,0
"157","Entertainment",50,15,1
"158","Entertainment",50,15,5
"159","Entertainment",50,15,1
"160","Entertainment",50,15,1
"161","Entertainment",50,15,19
"162","Entertainment",50,15,2
"163","Entertainment",50,15,3
"164","Entertainment",50,15,22
"165","Entertainment",50,15,1
"166","Entertainment",50,15,4
"167","Entertainment",50,15,3
"168","Entertainment",50,15,2
"169","Entertainment",50,15,3
"170","Entertainment",50,15,0
"171","Entertainment",50,15,1
"172","Entertainment",50,15,4
"173","Entertainment",50,15,4
"174","Entertainment",50,15,3
"175","Entertainment",50,15,2
"176","Entertainment",50,15,2
"177","Entertainment",50,15,6
"178","Entertainment",50,15,4
"179","Entertainment",50,15,6
"180","Entertainment",50,15,5
"181","Entertainment",50,15,4
"182","Entertainment",50,15,2
"183","Entertainment",50,15,1
"184","Entertainment",50,15,5
"185","Entertainment",50,15,0
"186","Entertainment",50,15,2
"187","Entertainment",50,15,1
"188","Entertainment",50,15,6
"189","Entertainment",50,15,1
"190","Entertainment",50,15,2
"191","Entertainment",50,15,2
"192","Entertainment",50,15,1
"193","Entertainment",50,15,1
"194","Entertainment",50,15,3
"195","Entertainment",50,15,1
"196","Entertainment",50,15,1
"197","Entertainment",50,15,1
"198","Entertainment",50,15,1
"199","Entertainment",50,15,2
"200","Entertainment",50,15,8
"201","Entertainment",50,15,1
"202","Entertainment",50,15,0
"203","Entertainment",50,15,7
"204","Entertainment",50,15,7
"205","Entertainment",50,15,0
"206","Entertainment",50,15,4
"207","Entertainment",50,15,3
"208","Entertainment",50,15,1
"209","Entertainment",50,15,5
"210","Entertainment",50,15,0
"211","Entertainment",50,15,6
"212","Entertainment",50,15,1
"213","Entertainment",50,15,0
"214","Entertainment",50,15,1
"215","Entertainment",50,15,0
"216","Entertainment",50,15,1
"217","Entertainment",50,15,2
"218","Entertainment",50,15,2
"219","Entertainment",50,15,0
"220","Entertainment",50,15,8
"221","Entertainment",50,15,4
"222","Entertainment",50,15,3
"223","Entertainment",50,15,2
"224","Entertainment",50,15,4
"225","Entertainment",50,15,0
"226","Entertainment",50,15,2
"227","Entertainment",50,15,8
"228","Entertainment",50,15,1
"229","Entertainment",50,15,0
"230","Entertainment",50,15,4
"231","Entertainment",50,15,13
"232","Entertainment",50,15,0
"233","Entertainment",50,15,4
"234","Entertainment",50,15,2
"235","Entertainment",50,15,0
"236","Entertainment",50,15,5
"237","Entertainment",50,15,0
"238","Entertainment",50,15,0
"239","Entertainment",50,15,2
"240","Entertainment",50,15,3
"241","Entertainment",50,15,0
"242","Entertainment",50,15,2
"243","Entertainment",50,15,2
"244","Entertainment",50,15,9
"245","Entertainment",50,15,3
"246","Entertainment",50,15,2
"247","Entertainment",50,15,0
"248","Entertainment",50,15,0
"249","Entertainment",50,15,5
"250","Entertainment",50,15,1
"251","Entertainment",50,15,0
"252","Entertainment",50,15,3
"253","Entertainment",50,15,0
"254","Entertainment",50,15,2
"255","Entertainment",50,15,2
"256","Entertainment",50,15,2
"257","Entertainment",50,15,9
"258","Entertainment",50,15,2
"259","Entertainment",50,15,10
"260","Entertainment",50,15,2
"261","Entertainment",50,15,9
"262","Entertainment",50,15,3
"263","Entertainment",50,15,5
"264","Entertainment",50,15,6
"265","Entertainment",50,15,9
"266","Entertainment",50,15,0
"267","Entertainment",50,15,17
"268","Entertainment",50,15,3
"269","Entertainment",50,15,1
"270","Entertainment",50,15,3
"271","Entertainment",50,15,0
"272","Entertainment",50,15,17
"273","Entertainment",50,15,5
"274","Entertainment",50,15,4
"275","Entertainment",50,15,1
"276","Entertainment",50,15,7
"277","Entertainment",50,15,9
"278","Entertainment",50,15,5
"279","Entertainment",50,15,4
"280","Entertainment",50,15,4
"281","Entertainment",50,15,5
"282","Entertainment",50,15,5
"283","Entertainment",50,15,4
"284","Entertainment",50,15,4
"285","Entertainment",50,15,12
"286","Entertainment",50,15,9
"287","Entertainment",50,15,17
"288","Entertainment",50,15,9
"289","Entertainment",50,15,0
"290","Entertainment",50,15,12
"291","Entertainment",50,15,5
"292","Entertainment",50,15,7
"293","Entertainment",50,15,5
