"id","opportunity","percentile","cutoff","accessibility"
"1","Gambling",50,15,6
"2","Gambling",50,15,9
"3","Gambling",50,15,2
"4","Gambling",50,15,1
"5","Gambling",50,15,1
"6","Gambling",50,15,0
"7","Gambling",50,15,6
"8","Gambling",50,15,3
"9","Gambling",50,15,4
"10","Gambling",50,15,3
"11","Gambling",50,15,3
"12","Gambling",50,15,2
"13","Gambling",50,15,5
"14","Gambling",50,15,6
"15","Gambling",50,15,1
"16","Gambling",50,15,3
"17","Gambling",50,15,2
"18","Gambling",50,15,4
"19","Gambling",50,15,2
"20","Gambling",50,15,0
"21","Gambling",50,15,14
"22","Gambling",50,15,6
"23","Gambling",50,15,0
"24","Gambling",50,15,0
"25","Gambling",50,15,4
"26","Gambling",50,15,0
"27","Gambling",50,15,5
"28","Gambling",50,15,13
"29","Gambling",50,15,1
"30","Gambling",50,15,1
"31","Gambling",50,15,5
"32","Gambling",50,15,1
"33","Gambling",50,15,0
"34","Gambling",50,15,5
"35","Gambling",50,15,5
"36","Gambling",50,15,16
"37","Gambling",50,15,2
"38","Gambling",50,15,0
"39","Gambling",50,15,4
"40","Gambling",50,15,0
"41","Gambling",50,15,4
"42","Gambling",50,15,0
"43","Gambling",50,15,0
"44","Gambling",50,15,0
"45","Gambling",50,15,0
"46","Gambling",50,15,4
"47","Gambling",50,15,0
"48","Gambling",50,15,0
"49","Gambling",50,15,0
"50","Gambling",50,15,0
"51","Gambling",50,15,0
"52","Gambling",50,15,3
"53","Gambling",50,15,5
"54","Gambling",50,15,0
"55","Gambling",50,15,0
"56","Gambling",50,15,0
"57","Gambling",50,15,2
"58","Gambling",50,15,7
"59","Gambling",50,15,0
"60","Gambling",50,15,10
"61","Gambling",50,15,10
"62","Gambling",50,15,0
"63","Gambling",50,15,6
"64","Gambling",50,15,6
"65","Gambling",50,15,0
"66","Gambling",50,15,0
"67","Gambling",50,15,3
"68","Gambling",50,15,1
"69","Gambling",50,15,0
"70","Gambling",50,15,0
"71","Gambling",50,15,0
"72","Gambling",50,15,0
"73","Gambling",50,15,0
"74","Gambling",50,15,0
"75","Gambling",50,15,0
"76","Gambling",50,15,7
"77","Gambling",50,15,1
"78","Gambling",50,15,0
"79","Gambling",50,15,6
"80","Gambling",50,15,0
"81","Gambling",50,15,1
"82","Gambling",50,15,4
"83","Gambling",50,15,4
"84","Gambling",50,15,4
"85","Gambling",50,15,0
"86","Gambling",50,15,0
"87","Gambling",50,15,0
"88","Gambling",50,15,3
"89","Gambling",50,15,7
"90","Gambling",50,15,6
"91","Gambling",50,15,8
"92","Gambling",50,15,0
"93","Gambling",50,15,0
"94","Gambling",50,15,0
"95","Gambling",50,15,7
"96","Gambling",50,15,0
"97","Gambling",50,15,0
"98","Gambling",50,15,0
"99","Gambling",50,15,4
"100","Gambling",50,15,4
"101","Gambling",50,15,0
"102","Gambling",50,15,0
"103","Gambling",50,15,0
"104","Gambling",50,15,0
"105","Gambling",50,15,0
"106","Gambling",50,15,10
"107","Gambling",50,15,0
"108","Gambling",50,15,10
"109","Gambling",50,15,6
"110","Gambling",50,15,10
"111","Gambling",50,15,2
"112","Gambling",50,15,0
"113","Gambling",50,15,0
"114","Gambling",50,15,1
"115","Gambling",50,15,6
"116","Gambling",50,15,0
"117","Gambling",50,15,0
"118","Gambling",50,15,4
"119","Gambling",50,15,10
"120","Gambling",50,15,0
"121","Gambling",50,15,0
"122","Gambling",50,15,0
"123","Gambling",50,15,6
"124","Gambling",50,15,4
"125","Gambling",50,15,3
"126","Gambling",50,15,5
"127","Gambling",50,15,0
"128","Gambling",50,15,10
"129","Gambling",50,15,0
"130","Gambling",50,15,4
"131","Gambling",50,15,2
"132","Gambling",50,15,0
"133","Gambling",50,15,1
"134","Gambling",50,15,1
"135","Gambling",50,15,3
"136","Gambling",50,15,4
"137","Gambling",50,15,4
"138","Gambling",50,15,1
"139","Gambling",50,15,4
"140","Gambling",50,15,0
"141","Gambling",50,15,7
"142","Gambling",50,15,2
"143","Gambling",50,15,2
"144","Gambling",50,15,7
"145","Gambling",50,15,1
"146","Gambling",50,15,1
"147","Gambling",50,15,11
"148","Gambling",50,15,11
"149","Gambling",50,15,7
"150","Gambling",50,15,1
"151","Gambling",50,15,4
"152","Gambling",50,15,7
"153","Gambling",50,15,0
"154","Gambling",50,15,0
"155","Gambling",50,15,7
"156","Gambling",50,15,0
"157","Gambling",50,15,3
"158","Gambling",50,15,3
"159","Gambling",50,15,3
"160","Gambling",50,15,0
"161","Gambling",50,15,13
"162","Gambling",50,15,8
"163","Gambling",50,15,1
"164","Gambling",50,15,9
"165","Gambling",50,15,8
"166","Gambling",50,15,3
"167","Gambling",50,15,7
"168","Gambling",50,15,3
"169","Gambling",50,15,1
"170","Gambling",50,15,1
"171","Gambling",50,15,0
"172","Gambling",50,15,4
"173","Gambling",50,15,5
"174","Gambling",50,15,1
"175","Gambling",50,15,1
"176","Gambling",50,15,1
"177","Gambling",50,15,8
"178","Gambling",50,15,0
"179","Gambling",50,15,7
"180","Gambling",50,15,5
"181","Gambling",50,15,3
"182","Gambling",50,15,2
"183","Gambling",50,15,1
"184","Gambling",50,15,4
"185","Gambling",50,15,0
"186","Gambling",50,15,0
"187","Gambling",50,15,0
"188","Gambling",50,15,5
"189","Gambling",50,15,1
"190","Gambling",50,15,0
"191","Gambling",50,15,1
"192","Gambling",50,15,0
"193","Gambling",50,15,0
"194","Gambling",50,15,4
"195","Gambling",50,15,0
"196","Gambling",50,15,3
"197","Gambling",50,15,2
"198","Gambling",50,15,2
"199","Gambling",50,15,3
"200","Gambling",50,15,6
"201","Gambling",50,15,2
"202","Gambling",50,15,0
"203","Gambling",50,15,5
"204","Gambling",50,15,5
"205","Gambling",50,15,0
"206","Gambling",50,15,3
"207","Gambling",50,15,0
"208","Gambling",50,15,0
"209","Gambling",50,15,1
"210","Gambling",50,15,0
"211","Gambling",50,15,1
"212","Gambling",50,15,1
"213","Gambling",50,15,2
"214","Gambling",50,15,0
"215","Gambling",50,15,0
"216","Gambling",50,15,0
"217","Gambling",50,15,1
"218","Gambling",50,15,6
"219","Gambling",50,15,1
"220","Gambling",50,15,2
"221","Gambling",50,15,4
"222","Gambling",50,15,3
"223","Gambling",50,15,2
"224","Gambling",50,15,4
"225","Gambling",50,15,1
"226","Gambling",50,15,2
"227","Gambling",50,15,2
"228","Gambling",50,15,0
"229","Gambling",50,15,0
"230","Gambling",50,15,1
"231","Gambling",50,15,8
"232","Gambling",50,15,0
"233","Gambling",50,15,1
"234","Gambling",50,15,0
"235","Gambling",50,15,0
"236","Gambling",50,15,1
"237","Gambling",50,15,0
"238","Gambling",50,15,2
"239","Gambling",50,15,0
"240","Gambling",50,15,3
"241","Gambling",50,15,0
"242","Gambling",50,15,4
"243","Gambling",50,15,2
"244","Gambling",50,15,3
"245","Gambling",50,15,1
"246","Gambling",50,15,3
"247","Gambling",50,15,0
"248","Gambling",50,15,0
"249","Gambling",50,15,1
"250","Gambling",50,15,0
"251","Gambling",50,15,0
"252","Gambling",50,15,3
"253","Gambling",50,15,2
"254","Gambling",50,15,2
"255","Gambling",50,15,5
"256","Gambling",50,15,3
"257","Gambling",50,15,3
"258","Gambling",50,15,2
"259","Gambling",50,15,2
"260","Gambling",50,15,4
"261","Gambling",50,15,2
"262","Gambling",50,15,2
"263","Gambling",50,15,1
"264","Gambling",50,15,2
"265","Gambling",50,15,2
"266","Gambling",50,15,0
"267","Gambling",50,15,5
"268","Gambling",50,15,8
"269","Gambling",50,15,2
"270","Gambling",50,15,4
"271","Gambling",50,15,0
"272","Gambling",50,15,5
"273","Gambling",50,15,1
"274","Gambling",50,15,3
"275","Gambling",50,15,0
"276","Gambling",50,15,5
"277","Gambling",50,15,5
"278","Gambling",50,15,1
"279","Gambling",50,15,2
"280","Gambling",50,15,6
"281","Gambling",50,15,7
"282","Gambling",50,15,2
"283","Gambling",50,15,6
"284","Gambling",50,15,2
"285","Gambling",50,15,11
"286","Gambling",50,15,4
"287","Gambling",50,15,5
"288","Gambling",50,15,7
"289","Gambling",50,15,1
"290","Gambling",50,15,4
"291","Gambling",50,15,0
"292","Gambling",50,15,1
"293","Gambling",50,15,1
"294","Gambling",50,15,4
"295","Gambling",50,15,3
"296","Gambling",50,15,5
"297","Gambling",50,15,0
"298","Gambling",50,15,0
"299","Gambling",50,15,2
"300","Gambling",50,15,2
"301","Gambling",50,15,14
"302","Gambling",50,15,11
"303","Gambling",50,15,5
"304","Gambling",50,15,0
"305","Gambling",50,15,1
"306","Gambling",50,15,3
"307","Gambling",50,15,2
"308","Gambling",50,15,6
"309","Gambling",50,15,1
"310","Gambling",50,15,1
"311","Gambling",50,15,4
"312","Gambling",50,15,7
"313","Gambling",50,15,6
"314","Gambling",50,15,10
"315","Gambling",50,15,8
"316","Gambling",50,15,5
"317","Gambling",50,15,10
"318","Gambling",50,15,4
"319","Gambling",50,15,2
"320","Gambling",50,15,12
"321","Gambling",50,15,3
"322","Gambling",50,15,7
"323","Gambling",50,15,1
"324","Gambling",50,15,1
"325","Gambling",50,15,5
"326","Gambling",50,15,21
"327","Gambling",50,15,9
"328","Gambling",50,15,5
"329","Gambling",50,15,5
"330","Gambling",50,15,4
"331","Gambling",50,15,7
"332","Gambling",50,15,3
"333","Gambling",50,15,3
"334","Gambling",50,15,3
"335","Gambling",50,15,0
"336","Gambling",50,15,5
"337","Gambling",50,15,4
"338","Gambling",50,15,7
"339","Gambling",50,15,20
"340","Gambling",50,15,3
"341","Gambling",50,15,2
"342","Gambling",50,15,3
"343","Gambling",50,15,5
"344","Gambling",50,15,0
"345","Gambling",50,15,5
"346","Gambling",50,15,0
"347","Gambling",50,15,5
"348","Gambling",50,15,2
"349","Gambling",50,15,5
"350","Gambling",50,15,5
"351","Gambling",50,15,5
"352","Gambling",50,15,5
"353","Gambling",50,15,4
"354","Gambling",50,15,15
"355","Gambling",50,15,3
"356","Gambling",50,15,10
"357","Gambling",50,15,6
"358","Gambling",50,15,4
"359","Gambling",50,15,5
"360","Gambling",50,15,10
"361","Gambling",50,15,6
"362","Gambling",50,15,6
"363","Gambling",50,15,3
"364","Gambling",50,15,2
"365","Gambling",50,15,11
"366","Gambling",50,15,15
"367","Gambling",50,15,0
"368","Gambling",50,15,2
"369","Gambling",50,15,6
"370","Gambling",50,15,5
"371","Gambling",50,15,0
"372","Gambling",50,15,6
"373","Gambling",50,15,0
"374","Gambling",50,15,0
"375","Gambling",50,15,4
"376","Gambling",50,15,5
"377","Gambling",50,15,7
"378","Gambling",50,15,3
"379","Gambling",50,15,1
"380","Gambling",50,15,5
"381","Gambling",50,15,7
"382","Gambling",50,15,10
"383","Gambling",50,15,2
"384","Gambling",50,15,20
"385","Gambling",50,15,3
"386","Gambling",50,15,5
"387","Gambling",50,15,2
"388","Gambling",50,15,4
"389","Gambling",50,15,6
"390","Gambling",50,15,12
"391","Gambling",50,15,5
"392","Gambling",50,15,6
"393","Gambling",50,15,1
"394","Gambling",50,15,7
"395","Gambling",50,15,4
"396","Gambling",50,15,3
"397","Gambling",50,15,3
"398","Gambling",50,15,1
"399","Gambling",50,15,7
"400","Gambling",50,15,0
"401","Gambling",50,15,3
"402","Gambling",50,15,19
"403","Gambling",50,15,3
"404","Gambling",50,15,6
"405","Gambling",50,15,9
"406","Gambling",50,15,2
"407","Gambling",50,15,5
"408","Gambling",50,15,3
"409","Gambling",50,15,3
"410","Gambling",50,15,4
"411","Gambling",50,15,2
"412","Gambling",50,15,5
"413","Gambling",50,15,3
"414","Gambling",50,15,5
"415","Gambling",50,15,9
"416","Gambling",50,15,5
"417","Gambling",50,15,13
"418","Gambling",50,15,14
"419","Gambling",50,15,1
"420","Gambling",50,15,0
"421","Gambling",50,15,3
"422","Gambling",50,15,1
"423","Gambling",50,15,3
"424","Gambling",50,15,0
"425","Gambling",50,15,8
"426","Gambling",50,15,9
"427","Gambling",50,15,1
"428","Gambling",50,15,9
"429","Gambling",50,15,4
"430","Gambling",50,15,5
"431","Gambling",50,15,10
"432","Gambling",50,15,5
"433","Gambling",50,15,7
"434","Gambling",50,15,10
"435","Gambling",50,15,11
"436","Gambling",50,15,3
"437","Gambling",50,15,6
"438","Gambling",50,15,3
"439","Gambling",50,15,1
"440","Gambling",50,15,2
"441","Gambling",50,15,8
"442","Gambling",50,15,7
"443","Gambling",50,15,3
"444","Gambling",50,15,1
"445","Gambling",50,15,5
"446","Gambling",50,15,5
"447","Gambling",50,15,2
"448","Gambling",50,15,6
"449","Gambling",50,15,9
"450","Gambling",50,15,8
"451","Gambling",50,15,1
"452","Gambling",50,15,11
"453","Gambling",50,15,3
"454","Gambling",50,15,9
"455","Gambling",50,15,0
"456","Gambling",50,15,0
"457","Gambling",50,15,8
"458","Gambling",50,15,0
"459","Gambling",50,15,0
"460","Gambling",50,15,0
"461","Gambling",50,15,0
"462","Gambling",50,15,0
"463","Gambling",50,15,0
"464","Gambling",50,15,0
"465","Gambling",50,15,0
"466","Gambling",50,15,7
"467","Gambling",50,15,7
"468","Gambling",50,15,3
"469","Gambling",50,15,5
"470","Gambling",50,15,2
"471","Gambling",50,15,8
"472","Gambling",50,15,1
"473","Gambling",50,15,2
"474","Gambling",50,15,0
"475","Gambling",50,15,0
"476","Gambling",50,15,0
"477","Gambling",50,15,3
"478","Gambling",50,15,2
"479","Gambling",50,15,0
"480","Gambling",50,15,1
"481","Gambling",50,15,1
"482","Gambling",50,15,0
"483","Gambling",50,15,1
"484","Gambling",50,15,4
"485","Gambling",50,15,5
"486","Gambling",50,15,6
"487","Gambling",50,15,1
"488","Gambling",50,15,6
"489","Gambling",50,15,1
"490","Gambling",50,15,0
"491","Gambling",50,15,4
"492","Gambling",50,15,9
"493","Gambling",50,15,0
"494","Gambling",50,15,4
"495","Gambling",50,15,0
"496","Gambling",50,15,6
"497","Gambling",50,15,1
"498","Gambling",50,15,4
"499","Gambling",50,15,0
"500","Gambling",50,15,0
"501","Gambling",50,15,1
"502","Gambling",50,15,0
"503","Gambling",50,15,7
"504","Gambling",50,15,7
"505","Gambling",50,15,3
"506","Gambling",50,15,7
"507","Gambling",50,15,5
"508","Gambling",50,15,7
"509","Gambling",50,15,6
"510","Gambling",50,15,16
"511","Gambling",50,15,7
"512","Gambling",50,15,25
"513","Gambling",50,15,9
"514","Gambling",50,15,0
"515","Gambling",50,15,6
"516","Gambling",50,15,0
"517","Gambling",50,15,1
"518","Gambling",50,15,1
"519","Gambling",50,15,3
"520","Gambling",50,15,5
"521","Gambling",50,15,25
"522","Gambling",50,15,11
"523","Gambling",50,15,0
"524","Gambling",50,15,2
"525","Gambling",50,15,32
"526","Gambling",50,15,29
"527","Gambling",50,15,5
"528","Gambling",50,15,16
"529","Gambling",50,15,2
"530","Gambling",50,15,4
"531","Gambling",50,15,9
"532","Gambling",50,15,4
"533","Gambling",50,15,36
"534","Gambling",50,15,0
"535","Gambling",50,15,0
"536","Gambling",50,15,5
"537","Gambling",50,15,1
"538","Gambling",50,15,2
"539","Gambling",50,15,4
"540","Gambling",50,15,0
"541","Gambling",50,15,16
"542","Gambling",50,15,4
"543","Gambling",50,15,4
"544","Gambling",50,15,1
"545","Gambling",50,15,10
"546","Gambling",50,15,10
"547","Gambling",50,15,11
"548","Gambling",50,15,13
"549","Gambling",50,15,44
"550","Gambling",50,15,7
"551","Gambling",50,15,1
"552","Gambling",50,15,4
"553","Gambling",50,15,2
"554","Gambling",50,15,2
"555","Gambling",50,15,2
"556","Gambling",50,15,2
"557","Gambling",50,15,6
"558","Gambling",50,15,3
"559","Gambling",50,15,18
"560","Gambling",50,15,3
"561","Gambling",50,15,3
"562","Gambling",50,15,2
"563","Gambling",50,15,0
"564","Gambling",50,15,3
"565","Gambling",50,15,3
"566","Gambling",50,15,3
"567","Gambling",50,15,9
"568","Gambling",50,15,16
"569","Gambling",50,15,3
"570","Gambling",50,15,1
"571","Gambling",50,15,39
"572","Gambling",50,15,2
"573","Gambling",50,15,3
"574","Gambling",50,15,3
"575","Gambling",50,15,7
"576","Gambling",50,15,0
"577","Gambling",50,15,10
"578","Gambling",50,15,39
"579","Gambling",50,15,1
"580","Gambling",50,15,1
"581","Gambling",50,15,48
"582","Gambling",50,15,3
"583","Gambling",50,15,18
"584","Gambling",50,15,0
"585","Gambling",50,15,5
"586","Gambling",50,15,9
"587","Gambling",50,15,1
"588","Gambling",50,15,5
"589","Gambling",50,15,5
"590","Gambling",50,15,0
"591","Gambling",50,15,30
"592","Gambling",50,15,7
"593","Gambling",50,15,0
"594","Gambling",50,15,6
"595","Gambling",50,15,7
"596","Gambling",50,15,5
"597","Gambling",50,15,6
"598","Gambling",50,15,15
"599","Gambling",50,15,5
"600","Gambling",50,15,12
"601","Gambling",50,15,4
"602","Gambling",50,15,1
"603","Gambling",50,15,9
"604","Gambling",50,15,6
"605","Gambling",50,15,1
"606","Gambling",50,15,2
"607","Gambling",50,15,16
"608","Gambling",50,15,4
"609","Gambling",50,15,8
"610","Gambling",50,15,5
"611","Gambling",50,15,3
"612","Gambling",50,15,8
"613","Gambling",50,15,0
"614","Gambling",50,15,15
"615","Gambling",50,15,1
"616","Gambling",50,15,30
"617","Gambling",50,15,16
"618","Gambling",50,15,2
"619","Gambling",50,15,35
"620","Gambling",50,15,30
"621","Gambling",50,15,53
"622","Gambling",50,15,4
"623","Gambling",50,15,1
"624","Gambling",50,15,2
"625","Gambling",50,15,5
"626","Gambling",50,15,4
"627","Gambling",50,15,0
"628","Gambling",50,15,0
"629","Gambling",50,15,2
"630","Gambling",50,15,12
"631","Gambling",50,15,5
"632","Gambling",50,15,19
"633","Gambling",50,15,12
"634","Gambling",50,15,8
"635","Gambling",50,15,0
"636","Gambling",50,15,1
"637","Gambling",50,15,9
"638","Gambling",50,15,34
"639","Gambling",50,15,50
"640","Gambling",50,15,10
"641","Gambling",50,15,4
"642","Gambling",50,15,7
"643","Gambling",50,15,9
"644","Gambling",50,15,3
"645","Gambling",50,15,0
"646","Gambling",50,15,7
"647","Gambling",50,15,0
"648","Gambling",50,15,4
"649","Gambling",50,15,43
"650","Gambling",50,15,42
"651","Gambling",50,15,10
"652","Gambling",50,15,5
"653","Gambling",50,15,14
"654","Gambling",50,15,3
"655","Gambling",50,15,2
"656","Gambling",50,15,2
"657","Gambling",50,15,19
"658","Gambling",50,15,32
"659","Gambling",50,15,2
"660","Gambling",50,15,19
"661","Gambling",50,15,5
"662","Gambling",50,15,0
"663","Gambling",50,15,27
"664","Gambling",50,15,13
"665","Gambling",50,15,27
"666","Gambling",50,15,30
"667","Gambling",50,15,8
"668","Gambling",50,15,10
"669","Gambling",50,15,22
"670","Gambling",50,15,10
"671","Gambling",50,15,7
"672","Gambling",50,15,33
"673","Gambling",50,15,39
"674","Gambling",50,15,28
"675","Gambling",50,15,0
"676","Gambling",50,15,3
"677","Gambling",50,15,0
"678","Gambling",50,15,0
"679","Gambling",50,15,0
"680","Gambling",50,15,0
"681","Gambling",50,15,6
"682","Gambling",50,15,5
"683","Gambling",50,15,10
"684","Gambling",50,15,2
"685","Gambling",50,15,5
"686","Gambling",50,15,0
"687","Gambling",50,15,0
"688","Gambling",50,15,3
"689","Gambling",50,15,1
"690","Gambling",50,15,2
"691","Gambling",50,15,0
"692","Gambling",50,15,1
"693","Gambling",50,15,1
"694","Gambling",50,15,1
"695","Gambling",50,15,1
"696","Gambling",50,15,7
"697","Gambling",50,15,1
"698","Gambling",50,15,3
"699","Gambling",50,15,4
"700","Gambling",50,15,5
"701","Gambling",50,15,0
"702","Gambling",50,15,1
"703","Gambling",50,15,0
"704","Gambling",50,15,6
"705","Gambling",50,15,4
"706","Gambling",50,15,2
"707","Gambling",50,15,0
"708","Gambling",50,15,0
"709","Gambling",50,15,0
"710","Gambling",50,15,5
"711","Gambling",50,15,2
"712","Gambling",50,15,1
"713","Gambling",50,15,0
"714","Gambling",50,15,3
"715","Gambling",50,15,0
"716","Gambling",50,15,5
"717","Gambling",50,15,1
"718","Gambling",50,15,4
"719","Gambling",50,15,3
"720","Gambling",50,15,6
"721","Gambling",50,15,3
"722","Gambling",50,15,2
"723","Gambling",50,15,6
"724","Gambling",50,15,0
"725","Gambling",50,15,1
"726","Gambling",50,15,2
"727","Gambling",50,15,6
"728","Gambling",50,15,2
"729","Gambling",50,15,3
"730","Gambling",50,15,1
"731","Gambling",50,15,4
"732","Gambling",50,15,6
"733","Gambling",50,15,17
"734","Gambling",50,15,18
"735","Gambling",50,15,1
"736","Gambling",50,15,0
"737","Gambling",50,15,8
"738","Gambling",50,15,0
"739","Gambling",50,15,2
"740","Gambling",50,15,5
"741","Gambling",50,15,1
"742","Gambling",50,15,1
"743","Gambling",50,15,0
"744","Gambling",50,15,1
"745","Gambling",50,15,3
"746","Gambling",50,15,3
"747","Gambling",50,15,12
"748","Gambling",50,15,1
"749","Gambling",50,15,8
"750","Gambling",50,15,4
"751","Gambling",50,15,3
"752","Gambling",50,15,4
"753","Gambling",50,15,1
"754","Gambling",50,15,0
"755","Gambling",50,15,2
"756","Gambling",50,15,1
"757","Gambling",50,15,0
"758","Gambling",50,15,6
"759","Gambling",50,15,2
"760","Gambling",50,15,4
"761","Gambling",50,15,2
"762","Gambling",50,15,4
"763","Gambling",50,15,2
"764","Gambling",50,15,3
"765","Gambling",50,15,3
"766","Gambling",50,15,2
"767","Gambling",50,15,6
"768","Gambling",50,15,1
"769","Gambling",50,15,7
"770","Gambling",50,15,1
"771","Gambling",50,15,1
"772","Gambling",50,15,6
"773","Gambling",50,15,2
"774","Gambling",50,15,0
"775","Gambling",50,15,5
"776","Gambling",50,15,8
"777","Gambling",50,15,7
"778","Gambling",50,15,7
"779","Gambling",50,15,1
"780","Gambling",50,15,9
"781","Gambling",50,15,2
"782","Gambling",50,15,6
"783","Gambling",50,15,6
"784","Gambling",50,15,7
"785","Gambling",50,15,4
"786","Gambling",50,15,5
"787","Gambling",50,15,7
"788","Gambling",50,15,1
"789","Gambling",50,15,7
"790","Gambling",50,15,4
"791","Gambling",50,15,0
"792","Gambling",50,15,12
"793","Gambling",50,15,7
"794","Gambling",50,15,2
"795","Gambling",50,15,2
"796","Gambling",50,15,7
"797","Gambling",50,15,7
"798","Gambling",50,15,0
"799","Gambling",50,15,4
"800","Gambling",50,15,7
"801","Gambling",50,15,0
"802","Gambling",50,15,6
"803","Gambling",50,15,13
"804","Gambling",50,15,4
"805","Gambling",50,15,0
"806","Gambling",50,15,5
"807","Gambling",50,15,2
"808","Gambling",50,15,4
"809","Gambling",50,15,0
"810","Gambling",50,15,7
"811","Gambling",50,15,2
"812","Gambling",50,15,5
"813","Gambling",50,15,5
"814","Gambling",50,15,1
"815","Gambling",50,15,5
"816","Gambling",50,15,5
"817","Gambling",50,15,3
"818","Gambling",50,15,3
"819","Gambling",50,15,4
"820","Gambling",50,15,5
"821","Gambling",50,15,3
"822","Gambling",50,15,5
"823","Gambling",50,15,5
"824","Gambling",50,15,1
"825","Gambling",50,15,7
"826","Gambling",50,15,7
"827","Gambling",50,15,2
"828","Gambling",50,15,6
"829","Gambling",50,15,4
"830","Gambling",50,15,2
"831","Gambling",50,15,1
"832","Gambling",50,15,2
"833","Gambling",50,15,3
"834","Gambling",50,15,1
"835","Gambling",50,15,1
"836","Gambling",50,15,3
"837","Gambling",50,15,0
"838","Gambling",50,15,13
"839","Gambling",50,15,4
"840","Gambling",50,15,8
"841","Gambling",50,15,3
"842","Gambling",50,15,2
"843","Gambling",50,15,7
"844","Gambling",50,15,8
"845","Gambling",50,15,3
"846","Gambling",50,15,7
"847","Gambling",50,15,8
"848","Gambling",50,15,3
"849","Gambling",50,15,3
"850","Gambling",50,15,5
"851","Gambling",50,15,6
"852","Gambling",50,15,2
"853","Gambling",50,15,2
"854","Gambling",50,15,2
"855","Gambling",50,15,0
"856","Gambling",50,15,0
"857","Gambling",50,15,0
"858","Gambling",50,15,0
"859","Gambling",50,15,1
"860","Gambling",50,15,0
"861","Gambling",50,15,3
"862","Gambling",50,15,4
"863","Gambling",50,15,4
"864","Gambling",50,15,1
"865","Gambling",50,15,1
"866","Gambling",50,15,1
"867","Gambling",50,15,1
"868","Gambling",50,15,1
"869","Gambling",50,15,0
"870","Gambling",50,15,2
"871","Gambling",50,15,4
"872","Gambling",50,15,4
"873","Gambling",50,15,4
"874","Gambling",50,15,1
"875","Gambling",50,15,1
"876","Gambling",50,15,20
"877","Gambling",50,15,0
"878","Gambling",50,15,0
"879","Gambling",50,15,6
"880","Gambling",50,15,0
"881","Gambling",50,15,5
"882","Gambling",50,15,0
"883","Gambling",50,15,5
"884","Gambling",50,15,0
"885","Gambling",50,15,9
"886","Gambling",50,15,3
"887","Gambling",50,15,3
"888","Gambling",50,15,3
"889","Gambling",50,15,7
"890","Gambling",50,15,7
"891","Gambling",50,15,5
"892","Gambling",50,15,7
"893","Gambling",50,15,1
"894","Gambling",50,15,4
"895","Gambling",50,15,14
"896","Gambling",50,15,2
"897","Gambling",50,15,2
"898","Gambling",50,15,4
"899","Gambling",50,15,2
"900","Gambling",50,15,5
"901","Gambling",50,15,7
"902","Gambling",50,15,0
"903","Gambling",50,15,4
"904","Gambling",50,15,4
"905","Gambling",50,15,2
"906","Gambling",50,15,2
"907","Gambling",50,15,7
"908","Gambling",50,15,7
"909","Gambling",50,15,1
"910","Gambling",50,15,1
"911","Gambling",50,15,3
"912","Gambling",50,15,5
"913","Gambling",50,15,1
