"id","opportunity","percentile","cutoff","accessibility"
"1","Bus stop",50,15,20
"2","Bus stop",50,15,55
"3","Bus stop",50,15,12
"4","Bus stop",50,15,33
"5","Bus stop",50,15,7
"6","Bus stop",50,15,6
"7","Bus stop",50,15,20
"8","Bus stop",50,15,24
"9","Bus stop",50,15,28
"10","Bus stop",50,15,27
"11","Bus stop",50,15,29
"12","Bus stop",50,15,22
"13","Bus stop",50,15,56
"14","Bus stop",50,15,20
"15","Bus stop",50,15,17
"16","Bus stop",50,15,30
"17","Bus stop",50,15,13
"18","Bus stop",50,15,41
"19","Bus stop",50,15,42
"20","Bus stop",50,15,19
"21","Bus stop",50,15,77
"22","Bus stop",50,15,20
"23","Bus stop",50,15,11
"24","Bus stop",50,15,6
"25","Bus stop",50,15,43
"26","Bus stop",50,15,21
"27","Bus stop",50,15,54
"28","Bus stop",50,15,62
"29","Bus stop",50,15,19
"30","Bus stop",50,15,33
"31","Bus stop",50,15,54
"32","Bus stop",50,15,25
"33","Bus stop",50,15,12
"34","Bus stop",50,15,50
"35","Bus stop",50,15,50
"36","Bus stop",50,15,78
"37","Bus stop",50,15,19
"38","Bus stop",50,15,18
"39","Bus stop",50,15,68
"40","Bus stop",50,15,18
"41","Bus stop",50,15,47
"42","Bus stop",50,15,27
"43","Bus stop",50,15,19
"44","Bus stop",50,15,15
"45","Bus stop",50,15,0
"46","Bus stop",50,15,48
"47","Bus stop",50,15,18
"48","Bus stop",50,15,18
"49","Bus stop",50,15,18
"50","Bus stop",50,15,18
"51","Bus stop",50,15,18
"52","Bus stop",50,15,31
"53","Bus stop",50,15,40
"54","Bus stop",50,15,10
"55","Bus stop",50,15,42
"56","Bus stop",50,15,10
"57","Bus stop",50,15,45
"58","Bus stop",50,15,105
"59","Bus stop",50,15,10
"60","Bus stop",50,15,77
"61","Bus stop",50,15,77
"62","Bus stop",50,15,4
"63","Bus stop",50,15,53
"64","Bus stop",50,15,53
"65","Bus stop",50,15,8
"66","Bus stop",50,15,23
"67","Bus stop",50,15,46
"68","Bus stop",50,15,26
"69","Bus stop",50,15,8
"70","Bus stop",50,15,7
"71","Bus stop",50,15,36
"72","Bus stop",50,15,31
"73","Bus stop",50,15,23
"74","Bus stop",50,15,96
"75","Bus stop",50,15,29
"76","Bus stop",50,15,76
"77","Bus stop",50,15,36
"78","Bus stop",50,15,4
"79","Bus stop",50,15,50
"80","Bus stop",50,15,11
"81","Bus stop",50,15,26
"82","Bus stop",50,15,47
"83","Bus stop",50,15,47
"84","Bus stop",50,15,47
"85","Bus stop",50,15,33
"86","Bus stop",50,15,23
"87","Bus stop",50,15,21
"88","Bus stop",50,15,44
"89","Bus stop",50,15,76
"90","Bus stop",50,15,70
"91","Bus stop",50,15,76
"92","Bus stop",50,15,7
"93","Bus stop",50,15,16
"94","Bus stop",50,15,19
"95","Bus stop",50,15,124
"96","Bus stop",50,15,0
"97","Bus stop",50,15,16
"98","Bus stop",50,15,40
"99","Bus stop",50,15,83
"100","Bus stop",50,15,86
"101","Bus stop",50,15,19
"102","Bus stop",50,15,42
"103","Bus stop",50,15,19
"104","Bus stop",50,15,16
"105","Bus stop",50,15,7
"106","Bus stop",50,15,66
"107","Bus stop",50,15,40
"108","Bus stop",50,15,77
"109","Bus stop",50,15,66
"110","Bus stop",50,15,77
"111","Bus stop",50,15,26
"112","Bus stop",50,15,21
"113","Bus stop",50,15,34
"114","Bus stop",50,15,33
"115","Bus stop",50,15,33
"116","Bus stop",50,15,16
"117","Bus stop",50,15,15
"118","Bus stop",50,15,52
"119","Bus stop",50,15,105
"120","Bus stop",50,15,37
"121","Bus stop",50,15,6
"122","Bus stop",50,15,28
"123","Bus stop",50,15,60
"124","Bus stop",50,15,30
"125","Bus stop",50,15,41
"126","Bus stop",50,15,29
"127","Bus stop",50,15,18
"128","Bus stop",50,15,77
"129","Bus stop",50,15,41
"130","Bus stop",50,15,30
"131","Bus stop",50,15,40
"132","Bus stop",50,15,41
"133","Bus stop",50,15,24
"134","Bus stop",50,15,45
"135","Bus stop",50,15,32
"136","Bus stop",50,15,62
"137","Bus stop",50,15,49
"138","Bus stop",50,15,50
"139","Bus stop",50,15,40
"140","Bus stop",50,15,21
"141","Bus stop",50,15,74
"142","Bus stop",50,15,37
"143","Bus stop",50,15,21
