"id","opportunity","percentile","cutoff","accessibility"
"1","Culture",50,15,0
"2","Culture",50,15,1
"3","Culture",50,15,0
"4","Culture",50,15,0
"5","Culture",50,15,0
"6","Culture",50,15,0
"7","Culture",50,15,0
"8","Culture",50,15,0
"9","Culture",50,15,2
"10","Culture",50,15,1
"11","Culture",50,15,1
"12","Culture",50,15,0
"13","Culture",50,15,1
"14","Culture",50,15,0
"15","Culture",50,15,0
"16","Culture",50,15,1
"17","Culture",50,15,0
"18","Culture",50,15,1
"19","Culture",50,15,1
"20","Culture",50,15,1
"21","Culture",50,15,1
"22","Culture",50,15,0
"23","Culture",50,15,0
"24","Culture",50,15,0
"25","Culture",50,15,0
"26","Culture",50,15,0
"27","Culture",50,15,2
"28","Culture",50,15,2
"29","Culture",50,15,0
"30","Culture",50,15,0
"31","Culture",50,15,2
"32","Culture",50,15,0
"33","Culture",50,15,1
"34","Culture",50,15,2
"35","Culture",50,15,2
"36","Culture",50,15,4
"37","Culture",50,15,1
"38","Culture",50,15,1
"39","Culture",50,15,1
"40","Culture",50,15,1
"41","Culture",50,15,1
"42","Culture",50,15,2
"43","Culture",50,15,1
"44","Culture",50,15,3
"45","Culture",50,15,0
"46","Culture",50,15,1
"47","Culture",50,15,1
"48","Culture",50,15,1
"49","Culture",50,15,1
"50","Culture",50,15,1
"51","Culture",50,15,1
"52","Culture",50,15,0
"53","Culture",50,15,2
"54","Culture",50,15,1
"55","Culture",50,15,3
"56","Culture",50,15,0
"57","Culture",50,15,3
"58","Culture",50,15,6
"59","Culture",50,15,0
"60","Culture",50,15,23
"61","Culture",50,15,23
"62","Culture",50,15,0
"63","Culture",50,15,3
"64","Culture",50,15,3
"65","Culture",50,15,1
"66","Culture",50,15,1
"67","Culture",50,15,1
"68","Culture",50,15,0
"69","Culture",50,15,1
"70","Culture",50,15,1
"71","Culture",50,15,1
"72","Culture",50,15,2
"73","Culture",50,15,3
"74","Culture",50,15,5
"75","Culture",50,15,1
"76","Culture",50,15,4
"77","Culture",50,15,3
"78","Culture",50,15,0
"79","Culture",50,15,2
"80","Culture",50,15,6
"81","Culture",50,15,0
"82","Culture",50,15,1
"83","Culture",50,15,1
"84","Culture",50,15,1
"85","Culture",50,15,1
"86","Culture",50,15,1
"87","Culture",50,15,2
"88","Culture",50,15,1
"89","Culture",50,15,4
"90","Culture",50,15,4
"91","Culture",50,15,4
"92","Culture",50,15,2
"93","Culture",50,15,1
"94","Culture",50,15,1
"95","Culture",50,15,15
"96","Culture",50,15,0
