"id","opportunity","percentile","cutoff","accessibility"
"1","Green park",50,15,1
"2","Green park",50,15,4
"3","Green park",50,15,2
"4","Green park",50,15,1
"5","Green park",50,15,2
"6","Green park",50,15,1
"7","Green park",50,15,1
"8","Green park",50,15,4
"9","Green park",50,15,1
"10","Green park",50,15,3
"11","Green park",50,15,6
"12","Green park",50,15,6
"13","Green park",50,15,1
"14","Green park",50,15,1
"15","Green park",50,15,1
"16","Green park",50,15,1
"17","Green park",50,15,7
"18","Green park",50,15,1
"19","Green park",50,15,1
"20","Green park",50,15,1
"21","Green park",50,15,23
"22","Green park",50,15,1
"23","Green park",50,15,6
"24","Green park",50,15,3
"25","Green park",50,15,1
"26","Green park",50,15,7
"27","Green park",50,15,2
"28","Green park",50,15,10
"29","Green park",50,15,0
"30","Green park",50,15,3
"31","Green park",50,15,2
"32","Green park",50,15,0
"33","Green park",50,15,20
"34","Green park",50,15,1
"35","Green park",50,15,1
"36","Green park",50,15,2
"37","Green park",50,15,2
"38","Green park",50,15,0
"39","Green park",50,15,2
"40","Green park",50,15,0
"41","Green park",50,15,3
"42","Green park",50,15,4
"43","Green park",50,15,0
"44","Green park",50,15,0
"45","Green park",50,15,0
"46","Green park",50,15,3
"47","Green park",50,15,0
"48","Green park",50,15,0
"49","Green park",50,15,0
"50","Green park",50,15,0
"51","Green park",50,15,0
"52","Green park",50,15,0
"53","Green park",50,15,2
"54","Green park",50,15,0
"55","Green park",50,15,0
"56","Green park",50,15,0
"57","Green park",50,15,4
"58","Green park",50,15,4
"59","Green park",50,15,0
"60","Green park",50,15,1
"61","Green park",50,15,1
"62","Green park",50,15,0
"63","Green park",50,15,2
"64","Green park",50,15,2
"65","Green park",50,15,0
"66","Green park",50,15,1
"67","Green park",50,15,1
"68","Green park",50,15,1
"69","Green park",50,15,1
"70","Green park",50,15,0
"71","Green park",50,15,1
"72","Green park",50,15,1
"73","Green park",50,15,3
"74","Green park",50,15,3
"75","Green park",50,15,0
"76","Green park",50,15,4
"77","Green park",50,15,1
"78","Green park",50,15,2
"79","Green park",50,15,3
"80","Green park",50,15,1
"81","Green park",50,15,0
"82","Green park",50,15,3
"83","Green park",50,15,3
"84","Green park",50,15,3
"85","Green park",50,15,0
"86","Green park",50,15,1
"87","Green park",50,15,3
"88","Green park",50,15,1
"89","Green park",50,15,4
"90","Green park",50,15,1
"91","Green park",50,15,6
"92","Green park",50,15,0
"93","Green park",50,15,0
"94","Green park",50,15,1
"95","Green park",50,15,3
"96","Green park",50,15,0
"97","Green park",50,15,1
"98","Green park",50,15,1
"99","Green park",50,15,6
"100","Green park",50,15,7
"101","Green park",50,15,0
"102","Green park",50,15,2
"103","Green park",50,15,0
"104","Green park",50,15,0
"105","Green park",50,15,1
"106","Green park",50,15,2
"107","Green park",50,15,1
"108","Green park",50,15,1
"109","Green park",50,15,2
"110","Green park",50,15,1
"111","Green park",50,15,2
"112","Green park",50,15,3
"113","Green park",50,15,1
"114","Green park",50,15,1
"115","Green park",50,15,1
"116","Green park",50,15,1
"117","Green park",50,15,1
"118","Green park",50,15,3
"119","Green park",50,15,4
"120","Green park",50,15,1
"121","Green park",50,15,1
"122","Green park",50,15,1
"123","Green park",50,15,1
"124","Green park",50,15,2
"125","Green park",50,15,1
"126","Green park",50,15,0
"127","Green park",50,15,2
"128","Green park",50,15,1
"129","Green park",50,15,4
"130","Green park",50,15,2
"131","Green park",50,15,10
"132","Green park",50,15,4
"133","Green park",50,15,3
"134","Green park",50,15,5
"135","Green park",50,15,1
"136","Green park",50,15,3
"137","Green park",50,15,1
"138","Green park",50,15,1
"139","Green park",50,15,2
"140","Green park",50,15,0
"141","Green park",50,15,3
"142","Green park",50,15,1
"143","Green park",50,15,1
"144","Green park",50,15,3
"145","Green park",50,15,0
"146","Green park",50,15,1
"147","Green park",50,15,8
"148","Green park",50,15,8
"149","Green park",50,15,3
"150","Green park",50,15,7
"151","Green park",50,15,3
"152","Green park",50,15,1
"153","Green park",50,15,2
"154","Green park",50,15,0
"155","Green park",50,15,2
"156","Green park",50,15,3
"157","Green park",50,15,1
"158","Green park",50,15,1
"159","Green park",50,15,1
"160","Green park",50,15,3
"161","Green park",50,15,5
"162","Green park",50,15,3
"163","Green park",50,15,1
"164","Green park",50,15,23
"165","Green park",50,15,1
"166","Green park",50,15,6
"167","Green park",50,15,3
"168","Green park",50,15,2
"169","Green park",50,15,2
"170","Green park",50,15,3
"171","Green park",50,15,1
"172","Green park",50,15,1
"173","Green park",50,15,2
"174","Green park",50,15,1
"175","Green park",50,15,0
"176","Green park",50,15,1
"177","Green park",50,15,5
"178","Green park",50,15,2
"179","Green park",50,15,4
"180","Green park",50,15,3
"181","Green park",50,15,2
"182","Green park",50,15,2
"183","Green park",50,15,1
"184","Green park",50,15,2
"185","Green park",50,15,6
"186","Green park",50,15,2
"187","Green park",50,15,0
"188","Green park",50,15,2
"189","Green park",50,15,1
"190","Green park",50,15,4
"191","Green park",50,15,2
"192","Green park",50,15,3
"193","Green park",50,15,2
"194","Green park",50,15,5
"195","Green park",50,15,1
"196","Green park",50,15,1
"197","Green park",50,15,0
"198","Green park",50,15,0
"199","Green park",50,15,2
"200","Green park",50,15,3
"201","Green park",50,15,3
"202","Green park",50,15,1
"203","Green park",50,15,8
"204","Green park",50,15,1
"205","Green park",50,15,0
"206","Green park",50,15,2
"207","Green park",50,15,8
"208","Green park",50,15,1
"209","Green park",50,15,0
"210","Green park",50,15,1
"211","Green park",50,15,1
"212","Green park",50,15,1
"213","Green park",50,15,2
"214","Green park",50,15,1
"215","Green park",50,15,2
"216","Green park",50,15,0
"217","Green park",50,15,1
"218","Green park",50,15,4
"219","Green park",50,15,2
"220","Green park",50,15,1
"221","Green park",50,15,0
"222","Green park",50,15,1
"223","Green park",50,15,1
"224","Green park",50,15,1
"225","Green park",50,15,1
"226","Green park",50,15,5
"227","Green park",50,15,1
"228","Green park",50,15,2
"229","Green park",50,15,2
"230","Green park",50,15,3
"231","Green park",50,15,5
"232","Green park",50,15,1
"233","Green park",50,15,2
"234","Green park",50,15,1
"235","Green park",50,15,2
"236","Green park",50,15,1
"237","Green park",50,15,1
"238","Green park",50,15,2
"239","Green park",50,15,1
"240","Green park",50,15,1
"241","Green park",50,15,1
"242","Green park",50,15,7
"243","Green park",50,15,0
"244","Green park",50,15,1
"245","Green park",50,15,0
"246","Green park",50,15,4
"247","Green park",50,15,2
"248","Green park",50,15,1
"249","Green park",50,15,1
"250","Green park",50,15,1
"251","Green park",50,15,0
"252","Green park",50,15,1
"253","Green park",50,15,2
"254","Green park",50,15,2
"255","Green park",50,15,2
"256","Green park",50,15,0
"257","Green park",50,15,2
"258","Green park",50,15,0
"259","Green park",50,15,2
"260","Green park",50,15,7
"261","Green park",50,15,1
"262","Green park",50,15,2
"263","Green park",50,15,2
"264","Green park",50,15,1
"265","Green park",50,15,1
"266","Green park",50,15,0
"267","Green park",50,15,2
"268","Green park",50,15,1
"269","Green park",50,15,3
"270","Green park",50,15,5
"271","Green park",50,15,0
"272","Green park",50,15,2
"273","Green park",50,15,1
"274","Green park",50,15,5
"275","Green park",50,15,2
"276","Green park",50,15,8
"277","Green park",50,15,2
"278","Green park",50,15,1
"279","Green park",50,15,3
"280","Green park",50,15,5
"281","Green park",50,15,14
"282","Green park",50,15,4
"283","Green park",50,15,2
"284","Green park",50,15,1
"285","Green park",50,15,6
"286","Green park",50,15,6
"287","Green park",50,15,2
"288","Green park",50,15,3
"289","Green park",50,15,1
"290","Green park",50,15,7
"291","Green park",50,15,3
"292","Green park",50,15,1
"293","Green park",50,15,1
"294","Green park",50,15,5
"295","Green park",50,15,3
"296","Green park",50,15,4
"297","Green park",50,15,2
"298","Green park",50,15,4
"299","Green park",50,15,3
"300","Green park",50,15,2
"301","Green park",50,15,9
"302","Green park",50,15,4
"303","Green park",50,15,3
"304","Green park",50,15,1
"305","Green park",50,15,3
"306","Green park",50,15,5
"307","Green park",50,15,1
"308","Green park",50,15,9
"309","Green park",50,15,4
"310","Green park",50,15,1
"311","Green park",50,15,5
"312","Green park",50,15,11
"313","Green park",50,15,6
"314","Green park",50,15,5
"315","Green park",50,15,11
"316","Green park",50,15,3
"317","Green park",50,15,2
"318","Green park",50,15,1
"319","Green park",50,15,3
"320","Green park",50,15,26
"321","Green park",50,15,1
"322","Green park",50,15,2
"323","Green park",50,15,3
"324","Green park",50,15,6
"325","Green park",50,15,3
"326","Green park",50,15,7
"327","Green park",50,15,18
"328","Green park",50,15,1
"329","Green park",50,15,8
"330","Green park",50,15,3
"331","Green park",50,15,0
"332","Green park",50,15,4
"333","Green park",50,15,2
"334","Green park",50,15,4
"335","Green park",50,15,1
"336","Green park",50,15,2
"337","Green park",50,15,5
"338","Green park",50,15,3
"339","Green park",50,15,3
"340","Green park",50,15,5
"341","Green park",50,15,1
"342","Green park",50,15,22
"343","Green park",50,15,3
"344","Green park",50,15,0
"345","Green park",50,15,3
"346","Green park",50,15,1
"347","Green park",50,15,6
"348","Green park",50,15,3
"349","Green park",50,15,6
"350","Green park",50,15,8
"351","Green park",50,15,8
"352","Green park",50,15,2
"353","Green park",50,15,3
"354","Green park",50,15,7
"355","Green park",50,15,2
"356","Green park",50,15,0
"357","Green park",50,15,6
"358","Green park",50,15,2
"359","Green park",50,15,2
"360","Green park",50,15,21
"361","Green park",50,15,15
"362","Green park",50,15,2
"363","Green park",50,15,3
"364","Green park",50,15,3
"365","Green park",50,15,2
"366","Green park",50,15,4
"367","Green park",50,15,1
"368","Green park",50,15,3
"369","Green park",50,15,2
"370","Green park",50,15,6
"371","Green park",50,15,1
"372","Green park",50,15,6
"373","Green park",50,15,1
"374","Green park",50,15,1
"375","Green park",50,15,7
"376","Green park",50,15,2
"377","Green park",50,15,3
"378","Green park",50,15,2
"379","Green park",50,15,2
"380","Green park",50,15,2
"381","Green park",50,15,3
"382","Green park",50,15,2
"383","Green park",50,15,2
"384","Green park",50,15,4
"385","Green park",50,15,2
"386","Green park",50,15,2
"387","Green park",50,15,2
"388","Green park",50,15,6
"389","Green park",50,15,3
"390","Green park",50,15,3
"391","Green park",50,15,6
"392","Green park",50,15,9
"393","Green park",50,15,2
"394","Green park",50,15,11
"395","Green park",50,15,5
"396","Green park",50,15,1
"397","Green park",50,15,3
"398","Green park",50,15,7
"399","Green park",50,15,3
"400","Green park",50,15,1
"401","Green park",50,15,4
"402","Green park",50,15,5
"403","Green park",50,15,4
"404","Green park",50,15,15
"405","Green park",50,15,5
"406","Green park",50,15,8
"407","Green park",50,15,2
"408","Green park",50,15,3
"409","Green park",50,15,5
"410","Green park",50,15,1
"411","Green park",50,15,6
"412","Green park",50,15,2
"413","Green park",50,15,2
"414","Green park",50,15,1
"415","Green park",50,15,4
"416","Green park",50,15,2
"417","Green park",50,15,2
"418","Green park",50,15,3
"419","Green park",50,15,4
"420","Green park",50,15,1
"421","Green park",50,15,4
"422","Green park",50,15,3
"423","Green park",50,15,0
"424","Green park",50,15,1
"425","Green park",50,15,23
"426","Green park",50,15,26
"427","Green park",50,15,2
"428","Green park",50,15,5
"429","Green park",50,15,3
"430","Green park",50,15,2
"431","Green park",50,15,10
"432","Green park",50,15,2
"433","Green park",50,15,2
"434","Green park",50,15,3
"435","Green park",50,15,23
"436","Green park",50,15,1
"437","Green park",50,15,3
"438","Green park",50,15,0
"439","Green park",50,15,2
"440","Green park",50,15,2
"441","Green park",50,15,5
"442","Green park",50,15,7
"443","Green park",50,15,6
"444","Green park",50,15,2
"445","Green park",50,15,3
"446","Green park",50,15,6
"447","Green park",50,15,1
"448","Green park",50,15,3
"449","Green park",50,15,5
"450","Green park",50,15,8
"451","Green park",50,15,2
"452","Green park",50,15,3
"453","Green park",50,15,1
"454","Green park",50,15,19
"455","Green park",50,15,0
"456","Green park",50,15,3
"457","Green park",50,15,4
"458","Green park",50,15,1
"459","Green park",50,15,2
"460","Green park",50,15,1
"461","Green park",50,15,1
"462","Green park",50,15,4
"463","Green park",50,15,1
"464","Green park",50,15,1
"465","Green park",50,15,1
"466","Green park",50,15,2
"467","Green park",50,15,2
"468","Green park",50,15,3
"469","Green park",50,15,2
"470","Green park",50,15,1
"471","Green park",50,15,5
"472","Green park",50,15,1
"473","Green park",50,15,1
"474","Green park",50,15,0
"475","Green park",50,15,0
"476","Green park",50,15,0
"477","Green park",50,15,0
"478","Green park",50,15,1
"479","Green park",50,15,2
"480","Green park",50,15,1
"481","Green park",50,15,2
"482","Green park",50,15,1
"483","Green park",50,15,0
"484","Green park",50,15,1
"485","Green park",50,15,5
"486","Green park",50,15,1
"487","Green park",50,15,2
"488","Green park",50,15,4
"489","Green park",50,15,1
"490","Green park",50,15,2
"491","Green park",50,15,2
"492","Green park",50,15,6
"493","Green park",50,15,6
"494","Green park",50,15,2
"495","Green park",50,15,1
"496","Green park",50,15,3
"497","Green park",50,15,2
"498","Green park",50,15,15
"499","Green park",50,15,6
"500","Green park",50,15,5
"501","Green park",50,15,6
"502","Green park",50,15,1
"503","Green park",50,15,6
"504","Green park",50,15,6
"505","Green park",50,15,4
"506","Green park",50,15,16
"507","Green park",50,15,2
"508","Green park",50,15,16
"509","Green park",50,15,12
"510","Green park",50,15,27
"511","Green park",50,15,16
"512","Green park",50,15,4
"513","Green park",50,15,17
"514","Green park",50,15,0
"515","Green park",50,15,12
"516","Green park",50,15,4
"517","Green park",50,15,5
"518","Green park",50,15,5
"519","Green park",50,15,7
"520","Green park",50,15,17
"521","Green park",50,15,4
"522","Green park",50,15,2
"523","Green park",50,15,5
"524","Green park",50,15,7
"525","Green park",50,15,6
"526","Green park",50,15,4
"527","Green park",50,15,10
"528","Green park",50,15,3
"529","Green park",50,15,0
"530","Green park",50,15,8
"531","Green park",50,15,10
"532","Green park",50,15,8
"533","Green park",50,15,7
"534","Green park",50,15,6
"535","Green park",50,15,5
"536","Green park",50,15,6
"537","Green park",50,15,3
"538","Green park",50,15,5
"539","Green park",50,15,8
"540","Green park",50,15,1
"541","Green park",50,15,16
"542","Green park",50,15,8
"543","Green park",50,15,8
"544","Green park",50,15,2
"545","Green park",50,15,24
"546","Green park",50,15,24
"547","Green park",50,15,22
"548","Green park",50,15,6
"549","Green park",50,15,32
"550","Green park",50,15,25
"551","Green park",50,15,5
"552","Green park",50,15,5
"553","Green park",50,15,15
"554","Green park",50,15,0
"555","Green park",50,15,5
"556","Green park",50,15,4
"557","Green park",50,15,4
"558","Green park",50,15,8
"559","Green park",50,15,23
"560","Green park",50,15,3
"561","Green park",50,15,5
"562","Green park",50,15,4
"563","Green park",50,15,1
"564","Green park",50,15,8
"565","Green park",50,15,8
"566","Green park",50,15,8
"567","Green park",50,15,10
"568","Green park",50,15,25
"569","Green park",50,15,12
"570","Green park",50,15,5
"571","Green park",50,15,12
"572","Green park",50,15,9
"573","Green park",50,15,4
"574","Green park",50,15,0
"575","Green park",50,15,18
"576","Green park",50,15,5
"577","Green park",50,15,14
"578","Green park",50,15,12
"579","Green park",50,15,2
"580","Green park",50,15,5
"581","Green park",50,15,50
"582","Green park",50,15,7
"583","Green park",50,15,11
"584","Green park",50,15,4
"585","Green park",50,15,6
"586","Green park",50,15,10
"587","Green park",50,15,1
"588","Green park",50,15,6
"589","Green park",50,15,6
"590","Green park",50,15,4
"591","Green park",50,15,7
"592","Green park",50,15,6
"593","Green park",50,15,2
"594","Green park",50,15,9
"595","Green park",50,15,21
"596","Green park",50,15,10
"597","Green park",50,15,12
"598","Green park",50,15,3
"599","Green park",50,15,4
"600","Green park",50,15,8
"601","Green park",50,15,7
"602","Green park",50,15,1
"603","Green park",50,15,11
"604","Green park",50,15,19
"605","Green park",50,15,10
"606","Green park",50,15,10
"607","Green park",50,15,3
"608","Green park",50,15,11
"609","Green park",50,15,11
"610","Green park",50,15,12
"611","Green park",50,15,12
"612","Green park",50,15,3
"613","Green park",50,15,5
"614","Green park",50,15,6
"615","Green park",50,15,2
"616","Green park",50,15,6
"617","Green park",50,15,30
"618","Green park",50,15,6
"619","Green park",50,15,7
"620","Green park",50,15,7
"621","Green park",50,15,16
"622","Green park",50,15,6
"623","Green park",50,15,5
"624","Green park",50,15,15
"625","Green park",50,15,2
"626","Green park",50,15,5
"627","Green park",50,15,1
"628","Green park",50,15,1
"629","Green park",50,15,4
"630","Green park",50,15,10
"631","Green park",50,15,21
"632","Green park",50,15,14
"633","Green park",50,15,13
"634","Green park",50,15,7
"635","Green park",50,15,4
"636","Green park",50,15,2
"637","Green park",50,15,10
"638","Green park",50,15,7
"639","Green park",50,15,14
"640","Green park",50,15,12
"641","Green park",50,15,15
"642","Green park",50,15,8
"643","Green park",50,15,17
"644","Green park",50,15,6
"645","Green park",50,15,6
"646","Green park",50,15,6
"647","Green park",50,15,1
"648","Green park",50,15,12
"649","Green park",50,15,7
"650","Green park",50,15,10
"651","Green park",50,15,6
"652","Green park",50,15,15
"653","Green park",50,15,8
"654","Green park",50,15,9
"655","Green park",50,15,5
"656","Green park",50,15,5
"657","Green park",50,15,14
"658","Green park",50,15,6
"659","Green park",50,15,4
"660","Green park",50,15,14
"661","Green park",50,15,8
"662","Green park",50,15,3
"663","Green park",50,15,2
"664","Green park",50,15,1
"665","Green park",50,15,2
"666","Green park",50,15,1
"667","Green park",50,15,0
"668","Green park",50,15,1
"669","Green park",50,15,6
"670","Green park",50,15,2
"671","Green park",50,15,1
"672","Green park",50,15,6
"673","Green park",50,15,6
"674","Green park",50,15,5
"675","Green park",50,15,0
"676","Green park",50,15,3
"677","Green park",50,15,0
"678","Green park",50,15,1
"679","Green park",50,15,1
"680","Green park",50,15,1
"681","Green park",50,15,1
"682","Green park",50,15,2
"683","Green park",50,15,1
"684","Green park",50,15,3
"685","Green park",50,15,3
"686","Green park",50,15,2
"687","Green park",50,15,1
"688","Green park",50,15,1
"689","Green park",50,15,1
"690","Green park",50,15,1
"691","Green park",50,15,1
"692","Green park",50,15,12
"693","Green park",50,15,0
"694","Green park",50,15,2
"695","Green park",50,15,0
"696","Green park",50,15,0
"697","Green park",50,15,1
"698","Green park",50,15,4
"699","Green park",50,15,6
"700","Green park",50,15,1
"701","Green park",50,15,0
"702","Green park",50,15,6
"703","Green park",50,15,0
"704","Green park",50,15,4
"705","Green park",50,15,2
"706","Green park",50,15,2
"707","Green park",50,15,0
"708","Green park",50,15,1
"709","Green park",50,15,5
"710","Green park",50,15,0
"711","Green park",50,15,4
"712","Green park",50,15,0
"713","Green park",50,15,1
"714","Green park",50,15,3
"715","Green park",50,15,1
"716","Green park",50,15,1
"717","Green park",50,15,3
"718","Green park",50,15,2
"719","Green park",50,15,2
"720","Green park",50,15,5
"721","Green park",50,15,5
"722","Green park",50,15,2
"723","Green park",50,15,3
"724","Green park",50,15,2
"725","Green park",50,15,1
"726","Green park",50,15,8
"727","Green park",50,15,0
"728","Green park",50,15,1
"729","Green park",50,15,7
"730","Green park",50,15,4
"731","Green park",50,15,2
"732","Green park",50,15,2
"733","Green park",50,15,25
"734","Green park",50,15,1
"735","Green park",50,15,1
"736","Green park",50,15,2
"737","Green park",50,15,2
"738","Green park",50,15,8
"739","Green park",50,15,0
"740","Green park",50,15,0
"741","Green park",50,15,1
"742","Green park",50,15,0
"743","Green park",50,15,1
"744","Green park",50,15,1
"745","Green park",50,15,1
"746","Green park",50,15,7
"747","Green park",50,15,3
"748","Green park",50,15,3
"749","Green park",50,15,2
"750","Green park",50,15,0
"751","Green park",50,15,1
"752","Green park",50,15,2
"753","Green park",50,15,5
"754","Green park",50,15,1
"755","Green park",50,15,1
"756","Green park",50,15,3
"757","Green park",50,15,2
"758","Green park",50,15,5
"759","Green park",50,15,1
"760","Green park",50,15,3
"761","Green park",50,15,0
"762","Green park",50,15,2
"763","Green park",50,15,0
"764","Green park",50,15,6
"765","Green park",50,15,7
"766","Green park",50,15,0
"767","Green park",50,15,7
"768","Green park",50,15,5
"769","Green park",50,15,1
"770","Green park",50,15,1
"771","Green park",50,15,3
"772","Green park",50,15,4
"773","Green park",50,15,0
"774","Green park",50,15,1
"775","Green park",50,15,3
"776","Green park",50,15,5
"777","Green park",50,15,3
"778","Green park",50,15,3
"779","Green park",50,15,0
"780","Green park",50,15,5
"781","Green park",50,15,3
"782","Green park",50,15,3
"783","Green park",50,15,3
"784","Green park",50,15,1
"785","Green park",50,15,5
"786","Green park",50,15,5
"787","Green park",50,15,2
"788","Green park",50,15,0
"789","Green park",50,15,3
"790","Green park",50,15,8
"791","Green park",50,15,0
"792","Green park",50,15,5
"793","Green park",50,15,3
"794","Green park",50,15,1
"795","Green park",50,15,6
"796","Green park",50,15,3
"797","Green park",50,15,2
"798","Green park",50,15,1
"799","Green park",50,15,2
"800","Green park",50,15,3
"801","Green park",50,15,2
"802","Green park",50,15,4
"803","Green park",50,15,5
"804","Green park",50,15,3
"805","Green park",50,15,2
"806","Green park",50,15,0
"807","Green park",50,15,3
"808","Green park",50,15,2
"809","Green park",50,15,3
"810","Green park",50,15,3
"811","Green park",50,15,1
"812","Green park",50,15,3
"813","Green park",50,15,1
"814","Green park",50,15,4
"815","Green park",50,15,3
"816","Green park",50,15,1
"817","Green park",50,15,7
"818","Green park",50,15,3
"819","Green park",50,15,1
"820","Green park",50,15,5
"821","Green park",50,15,0
"822","Green park",50,15,5
"823","Green park",50,15,5
"824","Green park",50,15,4
"825","Green park",50,15,5
"826","Green park",50,15,3
"827","Green park",50,15,1
"828","Green park",50,15,2
"829","Green park",50,15,8
"830","Green park",50,15,3
"831","Green park",50,15,1
"832","Green park",50,15,0
"833","Green park",50,15,5
"834","Green park",50,15,1
"835","Green park",50,15,2
"836","Green park",50,15,1
"837","Green park",50,15,0
"838","Green park",50,15,5
"839","Green park",50,15,2
"840","Green park",50,15,2
"841","Green park",50,15,6
"842","Green park",50,15,8
"843","Green park",50,15,11
"844","Green park",50,15,1
"845","Green park",50,15,0
"846","Green park",50,15,2
"847","Green park",50,15,1
"848","Green park",50,15,2
"849","Green park",50,15,0
"850","Green park",50,15,1
"851","Green park",50,15,3
"852","Green park",50,15,2
"853","Green park",50,15,0
"854","Green park",50,15,5
"855","Green park",50,15,1
"856","Green park",50,15,2
"857","Green park",50,15,2
"858","Green park",50,15,0
"859","Green park",50,15,0
"860","Green park",50,15,0
"861","Green park",50,15,2
"862","Green park",50,15,0
"863","Green park",50,15,0
"864","Green park",50,15,0
"865","Green park",50,15,0
"866","Green park",50,15,1
"867","Green park",50,15,1
"868","Green park",50,15,0
"869","Green park",50,15,1
"870","Green park",50,15,0
"871","Green park",50,15,3
"872","Green park",50,15,2
"873","Green park",50,15,0
"874","Green park",50,15,1
"875","Green park",50,15,1
"876","Green park",50,15,8
"877","Green park",50,15,1
"878","Green park",50,15,0
"879","Green park",50,15,2
"880","Green park",50,15,0
"881","Green park",50,15,5
"882","Green park",50,15,1
"883","Green park",50,15,0
"884","Green park",50,15,0
"885","Green park",50,15,3
"886","Green park",50,15,0
"887","Green park",50,15,1
"888","Green park",50,15,1
"889","Green park",50,15,1
"890","Green park",50,15,1
"891","Green park",50,15,2
"892","Green park",50,15,5
"893","Green park",50,15,0
"894","Green park",50,15,2
"895","Green park",50,15,4
"896","Green park",50,15,0
"897","Green park",50,15,2
"898","Green park",50,15,1
"899","Green park",50,15,5
"900","Green park",50,15,7
"901","Green park",50,15,2
"902","Green park",50,15,0
"903","Green park",50,15,1
"904","Green park",50,15,4
"905","Green park",50,15,0
"906","Green park",50,15,5
"907","Green park",50,15,2
"908","Green park",50,15,0
"909","Green park",50,15,1
"910","Green park",50,15,3
"911","Green park",50,15,3
"912","Green park",50,15,0
"913","Green park",50,15,1
"914","Green park",50,15,2
"915","Green park",50,15,0
"916","Green park",50,15,0
"917","Green park",50,15,0
"918","Green park",50,15,0
"919","Green park",50,15,0
"920","Green park",50,15,3
"921","Green park",50,15,3
"922","Green park",50,15,0
"923","Green park",50,15,2
"924","Green park",50,15,5
"925","Green park",50,15,0
"926","Green park",50,15,0
"927","Green park",50,15,2
"928","Green park",50,15,11
"929","Green park",50,15,0
"930","Green park",50,15,1
"931","Green park",50,15,0
"932","Green park",50,15,6
"933","Green park",50,15,6
"934","Green park",50,15,1
"935","Green park",50,15,2
