"id","opportunity","percentile","cutoff","accessibility"
"1","Public infrastructure",50,15,30
"2","Public infrastructure",50,15,91
"3","Public infrastructure",50,15,20
"4","Public infrastructure",50,15,53
"5","Public infrastructure",50,15,36
"6","Public infrastructure",50,15,22
"7","Public infrastructure",50,15,30
"8","Public infrastructure",50,15,40
"9","Public infrastructure",50,15,53
"10","Public infrastructure",50,15,48
"11","Public infrastructure",50,15,46
"12","Public infrastructure",50,15,40
"13","Public infrastructure",50,15,86
"14","Public infrastructure",50,15,30
"15","Public infrastructure",50,15,34
"16","Public infrastructure",50,15,45
"17","Public infrastructure",50,15,40
"18","Public infrastructure",50,15,56
"19","Public infrastructure",50,15,55
"20","Public infrastructure",50,15,27
"21","Public infrastructure",50,15,164
"22","Public infrastructure",50,15,30
"23","Public infrastructure",50,15,21
"24","Public infrastructure",50,15,32
"25","Public infrastructure",50,15,51
"26","Public infrastructure",50,15,27
"27","Public infrastructure",50,15,96
"28","Public infrastructure",50,15,132
"29","Public infrastructure",50,15,34
"30","Public infrastructure",50,15,36
"31","Public infrastructure",50,15,96
"32","Public infrastructure",50,15,36
"33","Public infrastructure",50,15,49
"34","Public infrastructure",50,15,68
"35","Public infrastructure",50,15,68
"36","Public infrastructure",50,15,124
"37","Public infrastructure",50,15,36
"38","Public infrastructure",50,15,18
"39","Public infrastructure",50,15,76
"40","Public infrastructure",50,15,18
"41","Public infrastructure",50,15,56
"42","Public infrastructure",50,15,13
"43","Public infrastructure",50,15,17
"44","Public infrastructure",50,15,12
"45","Public infrastructure",50,15,0
"46","Public infrastructure",50,15,57
"47","Public infrastructure",50,15,18
"48","Public infrastructure",50,15,18
"49","Public infrastructure",50,15,18
"50","Public infrastructure",50,15,18
"51","Public infrastructure",50,15,18
"52","Public infrastructure",50,15,35
"53","Public infrastructure",50,15,104
"54","Public infrastructure",50,15,14
"55","Public infrastructure",50,15,59
"56","Public infrastructure",50,15,5
"57","Public infrastructure",50,15,59
"58","Public infrastructure",50,15,157
"59","Public infrastructure",50,15,5
"60","Public infrastructure",50,15,265
"61","Public infrastructure",50,15,265
"62","Public infrastructure",50,15,3
"63","Public infrastructure",50,15,75
"64","Public infrastructure",50,15,75
"65","Public infrastructure",50,15,17
"66","Public infrastructure",50,15,49
"67","Public infrastructure",50,15,83
"68","Public infrastructure",50,15,25
"69","Public infrastructure",50,15,24
"70","Public infrastructure",50,15,6
"71","Public infrastructure",50,15,37
"72","Public infrastructure",50,15,48
"73","Public infrastructure",50,15,15
"74","Public infrastructure",50,15,125
"75","Public infrastructure",50,15,23
"76","Public infrastructure",50,15,119
"77","Public infrastructure",50,15,31
"78","Public infrastructure",50,15,5
"79","Public infrastructure",50,15,82
"80","Public infrastructure",50,15,34
"81","Public infrastructure",50,15,24
"82","Public infrastructure",50,15,56
"83","Public infrastructure",50,15,56
"84","Public infrastructure",50,15,56
"85","Public infrastructure",50,15,63
"86","Public infrastructure",50,15,49
"87","Public infrastructure",50,15,37
"88","Public infrastructure",50,15,84
"89","Public infrastructure",50,15,119
"90","Public infrastructure",50,15,107
"91","Public infrastructure",50,15,118
"92","Public infrastructure",50,15,10
"93","Public infrastructure",50,15,17
"94","Public infrastructure",50,15,47
"95","Public infrastructure",50,15,188
"96","Public infrastructure",50,15,0
"97","Public infrastructure",50,15,23
"98","Public infrastructure",50,15,69
"99","Public infrastructure",50,15,103
"100","Public infrastructure",50,15,89
"101","Public infrastructure",50,15,21
"102","Public infrastructure",50,15,46
"103","Public infrastructure",50,15,21
"104","Public infrastructure",50,15,20
"105","Public infrastructure",50,15,21
"106","Public infrastructure",50,15,128
"107","Public infrastructure",50,15,69
"108","Public infrastructure",50,15,265
"109","Public infrastructure",50,15,140
"110","Public infrastructure",50,15,265
"111","Public infrastructure",50,15,52
"112","Public infrastructure",50,15,39
"113","Public infrastructure",50,15,35
"114","Public infrastructure",50,15,37
"115","Public infrastructure",50,15,72
"116","Public infrastructure",50,15,23
"117","Public infrastructure",50,15,18
"118","Public infrastructure",50,15,84
"119","Public infrastructure",50,15,164
"120","Public infrastructure",50,15,35
"121","Public infrastructure",50,15,22
"122","Public infrastructure",50,15,48
"123","Public infrastructure",50,15,60
"124","Public infrastructure",50,15,62
"125","Public infrastructure",50,15,73
"126","Public infrastructure",50,15,40
"127","Public infrastructure",50,15,31
"128","Public infrastructure",50,15,265
"129","Public infrastructure",50,15,49
"130","Public infrastructure",50,15,62
"131","Public infrastructure",50,15,95
"132","Public infrastructure",50,15,49
"133","Public infrastructure",50,15,33
"134","Public infrastructure",50,15,36
"135","Public infrastructure",50,15,68
"136","Public infrastructure",50,15,99
"137","Public infrastructure",50,15,52
"138","Public infrastructure",50,15,59
"139","Public infrastructure",50,15,66
"140","Public infrastructure",50,15,35
"141","Public infrastructure",50,15,151
"142","Public infrastructure",50,15,44
"143","Public infrastructure",50,15,59
"144","Public infrastructure",50,15,151
"145","Public infrastructure",50,15,21
"146","Public infrastructure",50,15,16
"147","Public infrastructure",50,15,146
"148","Public infrastructure",50,15,146
"149","Public infrastructure",50,15,87
"150","Public infrastructure",50,15,28
"151","Public infrastructure",50,15,74
"152","Public infrastructure",50,15,103
"153","Public infrastructure",50,15,29
"154","Public infrastructure",50,15,11
"155","Public infrastructure",50,15,83
"156","Public infrastructure",50,15,23
"157","Public infrastructure",50,15,46
"158","Public infrastructure",50,15,81
"159","Public infrastructure",50,15,38
"160","Public infrastructure",50,15,37
"161","Public infrastructure",50,15,286
"162","Public infrastructure",50,15,91
"163","Public infrastructure",50,15,36
"164","Public infrastructure",50,15,209
"165","Public infrastructure",50,15,49
"166","Public infrastructure",50,15,61
"167","Public infrastructure",50,15,143
"168","Public infrastructure",50,15,83
"169","Public infrastructure",50,15,59
"170","Public infrastructure",50,15,30
"171","Public infrastructure",50,15,34
"172","Public infrastructure",50,15,161
"173","Public infrastructure",50,15,78
"174","Public infrastructure",50,15,31
"175","Public infrastructure",50,15,21
"176","Public infrastructure",50,15,18
"177","Public infrastructure",50,15,122
"178","Public infrastructure",50,15,53
"179","Public infrastructure",50,15,95
"180","Public infrastructure",50,15,77
"181","Public infrastructure",50,15,91
"182","Public infrastructure",50,15,32
"183","Public infrastructure",50,15,37
"184","Public infrastructure",50,15,103
"185","Public infrastructure",50,15,13
"186","Public infrastructure",50,15,56
"187","Public infrastructure",50,15,21
"188","Public infrastructure",50,15,115
"189","Public infrastructure",50,15,25
"190","Public infrastructure",50,15,45
"191","Public infrastructure",50,15,33
"192","Public infrastructure",50,15,30
"193","Public infrastructure",50,15,53
"194","Public infrastructure",50,15,67
"195","Public infrastructure",50,15,18
"196","Public infrastructure",50,15,39
"197","Public infrastructure",50,15,23
"198","Public infrastructure",50,15,23
"199","Public infrastructure",50,15,35
"200","Public infrastructure",50,15,140
"201","Public infrastructure",50,15,52
"202","Public infrastructure",50,15,43
"203","Public infrastructure",50,15,127
"204","Public infrastructure",50,15,138
"205","Public infrastructure",50,15,12
"206","Public infrastructure",50,15,79
"207","Public infrastructure",50,15,94
"208","Public infrastructure",50,15,35
"209","Public infrastructure",50,15,51
"210","Public infrastructure",50,15,15
"211","Public infrastructure",50,15,57
"212","Public infrastructure",50,15,40
"213","Public infrastructure",50,15,30
"214","Public infrastructure",50,15,32
"215","Public infrastructure",50,15,31
"216","Public infrastructure",50,15,12
"217","Public infrastructure",50,15,65
"218","Public infrastructure",50,15,69
"219","Public infrastructure",50,15,28
"220","Public infrastructure",50,15,69
"221","Public infrastructure",50,15,69
"222","Public infrastructure",50,15,45
"223","Public infrastructure",50,15,24
"224","Public infrastructure",50,15,38
"225","Public infrastructure",50,15,31
"226","Public infrastructure",50,15,39
"227","Public infrastructure",50,15,77
"228","Public infrastructure",50,15,33
"229","Public infrastructure",50,15,34
"230","Public infrastructure",50,15,51
"231","Public infrastructure",50,15,150
"232","Public infrastructure",50,15,8
"233","Public infrastructure",50,15,48
"234","Public infrastructure",50,15,24
"235","Public infrastructure",50,15,25
"236","Public infrastructure",50,15,36
"237","Public infrastructure",50,15,33
"238","Public infrastructure",50,15,38
"239","Public infrastructure",50,15,20
"240","Public infrastructure",50,15,38
"241","Public infrastructure",50,15,29
"242","Public infrastructure",50,15,46
"243","Public infrastructure",50,15,30
"244","Public infrastructure",50,15,102
"245","Public infrastructure",50,15,29
"246","Public infrastructure",50,15,40
"247","Public infrastructure",50,15,11
"248","Public infrastructure",50,15,29
"249","Public infrastructure",50,15,60
"250","Public infrastructure",50,15,18
"251","Public infrastructure",50,15,12
"252","Public infrastructure",50,15,72
"253","Public infrastructure",50,15,25
"254","Public infrastructure",50,15,38
"255","Public infrastructure",50,15,70
"256","Public infrastructure",50,15,32
"257","Public infrastructure",50,15,98
"258","Public infrastructure",50,15,27
"259","Public infrastructure",50,15,135
"260","Public infrastructure",50,15,51
"261","Public infrastructure",50,15,98
"262","Public infrastructure",50,15,41
"263","Public infrastructure",50,15,105
"264","Public infrastructure",50,15,62
"265","Public infrastructure",50,15,98
"266","Public infrastructure",50,15,38
"267","Public infrastructure",50,15,118
"268","Public infrastructure",50,15,121
"269","Public infrastructure",50,15,29
"270","Public infrastructure",50,15,53
