"id","opportunity","percentile","cutoff","accessibility"
"1","Railway stations",50,15,3
"2","Railway stations",50,15,1
"3","Railway stations",50,15,0
"4","Railway stations",50,15,0
"5","Railway stations",50,15,0
"6","Railway stations",50,15,0
"7","Railway stations",50,15,3
"8","Railway stations",50,15,0
"9","Railway stations",50,15,1
"10","Railway stations",50,15,0
"11","Railway stations",50,15,0
"12","Railway stations",50,15,0
"13","Railway stations",50,15,1
"14","Railway stations",50,15,3
"15","Railway stations",50,15,0
"16","Railway stations",50,15,0
"17","Railway stations",50,15,0
"18","Railway stations",50,15,0
"19","Railway stations",50,15,0
"20","Railway stations",50,15,0
"21","Railway stations",50,15,0
"22","Railway stations",50,15,3
"23","Railway stations",50,15,0
"24","Railway stations",50,15,0
"25","Railway stations",50,15,0
"26","Railway stations",50,15,0
"27","Railway stations",50,15,1
"28","Railway stations",50,15,0
"29","Railway stations",50,15,0
"30","Railway stations",50,15,0
"31","Railway stations",50,15,1
"32","Railway stations",50,15,0
"33","Railway stations",50,15,0
"34","Railway stations",50,15,0
"35","Railway stations",50,15,0
"36","Railway stations",50,15,4
"37","Railway stations",50,15,0
"38","Railway stations",50,15,0
"39","Railway stations",50,15,0
"40","Railway stations",50,15,0
"41","Railway stations",50,15,0
"42","Railway stations",50,15,0
"43","Railway stations",50,15,0
"44","Railway stations",50,15,0
"45","Railway stations",50,15,0
"46","Railway stations",50,15,0
"47","Railway stations",50,15,0
"48","Railway stations",50,15,0
"49","Railway stations",50,15,0
"50","Railway stations",50,15,0
"51","Railway stations",50,15,0
"52","Railway stations",50,15,1
"53","Railway stations",50,15,0
"54","Railway stations",50,15,0
"55","Railway stations",50,15,0
"56","Railway stations",50,15,0
"57","Railway stations",50,15,1
"58","Railway stations",50,15,0
"59","Railway stations",50,15,0
"60","Railway stations",50,15,5
"61","Railway stations",50,15,5
"62","Railway stations",50,15,0
"63","Railway stations",50,15,0
"64","Railway stations",50,15,0
"65","Railway stations",50,15,0
"66","Railway stations",50,15,0
"67","Railway stations",50,15,0
"68","Railway stations",50,15,0
"69","Railway stations",50,15,0
"70","Railway stations",50,15,0
"71","Railway stations",50,15,0
"72","Railway stations",50,15,0
"73","Railway stations",50,15,0
"74","Railway stations",50,15,0
"75","Railway stations",50,15,0
"76","Railway stations",50,15,0
"77","Railway stations",50,15,0
"78","Railway stations",50,15,0
"79","Railway stations",50,15,0
"80","Railway stations",50,15,0
"81","Railway stations",50,15,1
"82","Railway stations",50,15,0
"83","Railway stations",50,15,0
"84","Railway stations",50,15,0
"85","Railway stations",50,15,0
"86","Railway stations",50,15,0
"87","Railway stations",50,15,0
"88","Railway stations",50,15,0
"89","Railway stations",50,15,0
"90","Railway stations",50,15,0
"91","Railway stations",50,15,1
"92","Railway stations",50,15,0
"93","Railway stations",50,15,0
"94","Railway stations",50,15,0
"95","Railway stations",50,15,0
"96","Railway stations",50,15,0
"97","Railway stations",50,15,0
"98","Railway stations",50,15,0
"99","Railway stations",50,15,0
"100","Railway stations",50,15,0
"101","Railway stations",50,15,0
"102","Railway stations",50,15,0
"103","Railway stations",50,15,0
"104","Railway stations",50,15,1
"105","Railway stations",50,15,0
"106","Railway stations",50,15,0
"107","Railway stations",50,15,0
"108","Railway stations",50,15,5
"109","Railway stations",50,15,0
"110","Railway stations",50,15,5
"111","Railway stations",50,15,0
"112","Railway stations",50,15,0
"113","Railway stations",50,15,0
"114","Railway stations",50,15,1
"115","Railway stations",50,15,0
"116","Railway stations",50,15,0
"117","Railway stations",50,15,0
"118","Railway stations",50,15,0
"119","Railway stations",50,15,0
"120","Railway stations",50,15,0
"121","Railway stations",50,15,0
"122","Railway stations",50,15,0
"123","Railway stations",50,15,1
"124","Railway stations",50,15,0
"125","Railway stations",50,15,0
"126","Railway stations",50,15,0
"127","Railway stations",50,15,0
"128","Railway stations",50,15,5
"129","Railway stations",50,15,0
"130","Railway stations",50,15,0
"131","Railway stations",50,15,0
"132","Railway stations",50,15,0
"133","Railway stations",50,15,0
"134","Railway stations",50,15,0
"135","Railway stations",50,15,0
"136","Railway stations",50,15,0
"137","Railway stations",50,15,1
"138","Railway stations",50,15,1
"139","Railway stations",50,15,0
"140","Railway stations",50,15,0
"141","Railway stations",50,15,2
"142","Railway stations",50,15,1
"143","Railway stations",50,15,0
"144","Railway stations",50,15,2
"145","Railway stations",50,15,1
"146","Railway stations",50,15,0
"147","Railway stations",50,15,1
"148","Railway stations",50,15,1
"149","Railway stations",50,15,0
"150","Railway stations",50,15,0
"151","Railway stations",50,15,0
"152","Railway stations",50,15,0
"153","Railway stations",50,15,0
"154","Railway stations",50,15,1
"155","Railway stations",50,15,0
"156","Railway stations",50,15,0
"157","Railway stations",50,15,0
"158","Railway stations",50,15,0
"159","Railway stations",50,15,0
"160","Railway stations",50,15,0
"161","Railway stations",50,15,0
"162","Railway stations",50,15,0
"163","Railway stations",50,15,0
"164","Railway stations",50,15,2
"165","Railway stations",50,15,0
"166","Railway stations",50,15,0
"167","Railway stations",50,15,1
"168","Railway stations",50,15,0
"169","Railway stations",50,15,0
