"id","opportunity","percentile","cutoff","accessibility"
"1","Sports",50,15,2
"2","Sports",50,15,8
"3","Sports",50,15,0
"4","Sports",50,15,2
"5","Sports",50,15,3
"6","Sports",50,15,6
"7","Sports",50,15,2
"8","Sports",50,15,1
"9","Sports",50,15,3
"10","Sports",50,15,3
"11","Sports",50,15,2
"12","Sports",50,15,5
"13","Sports",50,15,2
"14","Sports",50,15,2
"15","Sports",50,15,2
"16","Sports",50,15,3
"17","Sports",50,15,2
"18","Sports",50,15,0
"19","Sports",50,15,1
"20","Sports",50,15,2
"21","Sports",50,15,12
"22","Sports",50,15,2
"23","Sports",50,15,0
"24","Sports",50,15,2
"25","Sports",50,15,8
"26","Sports",50,15,0
"27","Sports",50,15,7
"28","Sports",50,15,15
"29","Sports",50,15,3
"30","Sports",50,15,3
"31","Sports",50,15,7
"32","Sports",50,15,1
"33","Sports",50,15,3
"34","Sports",50,15,10
"35","Sports",50,15,10
"36","Sports",50,15,10
"37","Sports",50,15,7
"38","Sports",50,15,3
"39","Sports",50,15,15
"40","Sports",50,15,3
"41","Sports",50,15,11
"42","Sports",50,15,5
"43","Sports",50,15,0
"44","Sports",50,15,1
"45","Sports",50,15,6
"46","Sports",50,15,11
"47","Sports",50,15,3
"48","Sports",50,15,3
"49","Sports",50,15,3
"50","Sports",50,15,3
"51","Sports",50,15,3
"52","Sports",50,15,2
"53","Sports",50,15,11
"54","Sports",50,15,2
"55","Sports",50,15,5
"56","Sports",50,15,0
"57","Sports",50,15,24
"58","Sports",50,15,16
"59","Sports",50,15,0
"60","Sports",50,15,28
"61","Sports",50,15,28
"62","Sports",50,15,0
"63","Sports",50,15,6
"64","Sports",50,15,6
"65","Sports",50,15,2
"66","Sports",50,15,6
"67","Sports",50,15,3
"68","Sports",50,15,3
"69","Sports",50,15,2
"70","Sports",50,15,0
"71","Sports",50,15,4
"72","Sports",50,15,6
"73","Sports",50,15,5
"74","Sports",50,15,27
"75","Sports",50,15,1
"76","Sports",50,15,10
"77","Sports",50,15,10
"78","Sports",50,15,0
"79","Sports",50,15,6
"80","Sports",50,15,5
"81","Sports",50,15,0
"82","Sports",50,15,11
"83","Sports",50,15,11
"84","Sports",50,15,11
"85","Sports",50,15,7
"86","Sports",50,15,6
"87","Sports",50,15,5
"88","Sports",50,15,2
"89","Sports",50,15,10
"90","Sports",50,15,11
"91","Sports",50,15,29
"92","Sports",50,15,4
"93","Sports",50,15,2
"94","Sports",50,15,6
"95","Sports",50,15,23
"96","Sports",50,15,0
"97","Sports",50,15,3
"98","Sports",50,15,8
"99","Sports",50,15,10
"100","Sports",50,15,17
"101","Sports",50,15,4
"102","Sports",50,15,17
"103","Sports",50,15,4
"104","Sports",50,15,2
"105","Sports",50,15,2
"106","Sports",50,15,5
"107","Sports",50,15,8
"108","Sports",50,15,28
"109","Sports",50,15,5
"110","Sports",50,15,28
"111","Sports",50,15,7
"112","Sports",50,15,6
"113","Sports",50,15,3
"114","Sports",50,15,4
"115","Sports",50,15,3
"116","Sports",50,15,3
"117","Sports",50,15,3
"118","Sports",50,15,6
"119","Sports",50,15,18
"120","Sports",50,15,9
"121","Sports",50,15,2
"122","Sports",50,15,12
"123","Sports",50,15,12
"124","Sports",50,15,7
"125","Sports",50,15,8
"126","Sports",50,15,4
"127","Sports",50,15,3
"128","Sports",50,15,28
"129","Sports",50,15,4
"130","Sports",50,15,7
"131","Sports",50,15,21
"132","Sports",50,15,4
"133","Sports",50,15,2
"134","Sports",50,15,3
"135","Sports",50,15,6
"136","Sports",50,15,8
"137","Sports",50,15,7
"138","Sports",50,15,5
"139","Sports",50,15,9
"140","Sports",50,15,2
"141","Sports",50,15,11
"142","Sports",50,15,9
"143","Sports",50,15,5
"144","Sports",50,15,11
"145","Sports",50,15,5
"146","Sports",50,15,4
"147","Sports",50,15,28
"148","Sports",50,15,28
"149","Sports",50,15,11
"150","Sports",50,15,4
"151","Sports",50,15,17
"152","Sports",50,15,5
"153","Sports",50,15,7
"154","Sports",50,15,1
"155","Sports",50,15,11
"156","Sports",50,15,8
"157","Sports",50,15,9
"158","Sports",50,15,6
"159","Sports",50,15,8
"160","Sports",50,15,5
"161","Sports",50,15,33
"162","Sports",50,15,4
"163","Sports",50,15,6
"164","Sports",50,15,23
"165","Sports",50,15,4
"166","Sports",50,15,10
"167","Sports",50,15,13
"168","Sports",50,15,18
"169","Sports",50,15,13
"170","Sports",50,15,3
"171","Sports",50,15,5
"172","Sports",50,15,5
"173","Sports",50,15,14
"174","Sports",50,15,5
"175","Sports",50,15,5
"176","Sports",50,15,1
"177","Sports",50,15,31
"178","Sports",50,15,4
"179","Sports",50,15,27
"180","Sports",50,15,6
"181","Sports",50,15,8
"182","Sports",50,15,1
"183","Sports",50,15,4
"184","Sports",50,15,9
"185","Sports",50,15,3
"186","Sports",50,15,17
"187","Sports",50,15,1
"188","Sports",50,15,12
"189","Sports",50,15,2
"190","Sports",50,15,7
"191","Sports",50,15,3
"192","Sports",50,15,3
"193","Sports",50,15,9
"194","Sports",50,15,10
"195","Sports",50,15,3
"196","Sports",50,15,1
"197","Sports",50,15,3
"198","Sports",50,15,3
"199","Sports",50,15,7
"200","Sports",50,15,14
"201","Sports",50,15,14
"202","Sports",50,15,2
"203","Sports",50,15,11
"204","Sports",50,15,12
"205","Sports",50,15,5
"206","Sports",50,15,18
"207","Sports",50,15,11
"208","Sports",50,15,0
"209","Sports",50,15,2
"210","Sports",50,15,3
"211","Sports",50,15,7
"212","Sports",50,15,6
"213","Sports",50,15,1
"214","Sports",50,15,0
"215","Sports",50,15,1
"216","Sports",50,15,0
"217","Sports",50,15,5
"218","Sports",50,15,9
"219","Sports",50,15,2
"220","Sports",50,15,10
"221","Sports",50,15,2
"222","Sports",50,15,13
"223","Sports",50,15,0
"224","Sports",50,15,1
"225","Sports",50,15,1
"226","Sports",50,15,5
"227","Sports",50,15,10
"228","Sports",50,15,2
"229","Sports",50,15,0
"230","Sports",50,15,3
"231","Sports",50,15,17
"232","Sports",50,15,0
"233","Sports",50,15,4
"234","Sports",50,15,0
"235","Sports",50,15,1
"236","Sports",50,15,1
"237","Sports",50,15,2
"238","Sports",50,15,5
"239","Sports",50,15,0
"240","Sports",50,15,1
"241","Sports",50,15,0
"242","Sports",50,15,12
"243","Sports",50,15,0
"244","Sports",50,15,10
"245","Sports",50,15,2
"246","Sports",50,15,4
"247","Sports",50,15,2
"248","Sports",50,15,0
"249","Sports",50,15,6
"250","Sports",50,15,2
"251","Sports",50,15,0
"252","Sports",50,15,11
"253","Sports",50,15,1
"254","Sports",50,15,9
"255","Sports",50,15,1
"256","Sports",50,15,2
"257","Sports",50,15,7
"258","Sports",50,15,1
"259","Sports",50,15,12
"260","Sports",50,15,9
"261","Sports",50,15,9
"262","Sports",50,15,2
"263","Sports",50,15,6
"264","Sports",50,15,2
"265","Sports",50,15,9
"266","Sports",50,15,4
"267","Sports",50,15,16
"268","Sports",50,15,8
"269","Sports",50,15,3
"270","Sports",50,15,10
"271","Sports",50,15,4
"272","Sports",50,15,16
"273","Sports",50,15,9
"274","Sports",50,15,12
"275","Sports",50,15,8
"276","Sports",50,15,16
"277","Sports",50,15,14
"278","Sports",50,15,9
"279","Sports",50,15,7
"280","Sports",50,15,5
"281","Sports",50,15,10
"282","Sports",50,15,6
"283","Sports",50,15,1
"284","Sports",50,15,8
"285","Sports",50,15,15
"286","Sports",50,15,6
"287","Sports",50,15,16
"288","Sports",50,15,6
"289","Sports",50,15,0
"290","Sports",50,15,6
"291","Sports",50,15,7
"292","Sports",50,15,10
"293","Sports",50,15,9
"294","Sports",50,15,10
"295","Sports",50,15,3
"296","Sports",50,15,8
"297","Sports",50,15,0
"298","Sports",50,15,9
"299","Sports",50,15,3
"300","Sports",50,15,9
"301","Sports",50,15,11
"302","Sports",50,15,7
"303","Sports",50,15,9
"304","Sports",50,15,4
"305","Sports",50,15,0
"306","Sports",50,15,12
"307","Sports",50,15,0
"308","Sports",50,15,2
"309","Sports",50,15,5
"310","Sports",50,15,2
"311","Sports",50,15,10
"312","Sports",50,15,19
"313","Sports",50,15,11
"314","Sports",50,15,12
"315","Sports",50,15,11
"316","Sports",50,15,5
"317","Sports",50,15,2
"318","Sports",50,15,7
"319","Sports",50,15,1
"320","Sports",50,15,25
"321","Sports",50,15,2
"322","Sports",50,15,5
"323","Sports",50,15,3
"324","Sports",50,15,5
"325","Sports",50,15,9
"326","Sports",50,15,21
"327","Sports",50,15,23
"328","Sports",50,15,4
"329","Sports",50,15,2
"330","Sports",50,15,3
"331","Sports",50,15,3
