"id","opportunity","percentile","cutoff","accessibility"
"1","Taxi rank",50,15,0
"2","Taxi rank",50,15,0
"3","Taxi rank",50,15,0
"4","Taxi rank",50,15,0
"5","Taxi rank",50,15,0
"6","Taxi rank",50,15,0
"7","Taxi rank",50,15,0
"8","Taxi rank",50,15,0
"9","Taxi rank",50,15,0
"10","Taxi rank",50,15,0
"11","Taxi rank",50,15,0
"12","Taxi rank",50,15,0
"13","Taxi rank",50,15,0
"14","Taxi rank",50,15,0
"15","Taxi rank",50,15,0
"16","Taxi rank",50,15,0
"17","Taxi rank",50,15,0
"18","Taxi rank",50,15,0
"19","Taxi rank",50,15,0
"20","Taxi rank",50,15,0
"21","Taxi rank",50,15,0
"22","Taxi rank",50,15,0
"23","Taxi rank",50,15,0
"24","Taxi rank",50,15,0
"25","Taxi rank",50,15,0
"26","Taxi rank",50,15,0
"27","Taxi rank",50,15,0
"28","Taxi rank",50,15,0
"29","Taxi rank",50,15,0
"30","Taxi rank",50,15,0
"31","Taxi rank",50,15,0
"32","Taxi rank",50,15,0
"33","Taxi rank",50,15,0
"34","Taxi rank",50,15,0
"35","Taxi rank",50,15,0
"36","Taxi rank",50,15,0
"37","Taxi rank",50,15,0
"38","Taxi rank",50,15,0
"39","Taxi rank",50,15,0
"40","Taxi rank",50,15,0
"41","Taxi rank",50,15,0
"42","Taxi rank",50,15,0
"43","Taxi rank",50,15,0
"44","Taxi rank",50,15,0
"45","Taxi rank",50,15,0
"46","Taxi rank",50,15,0
"47","Taxi rank",50,15,0
"48","Taxi rank",50,15,0
"49","Taxi rank",50,15,0
"50","Taxi rank",50,15,0
"51","Taxi rank",50,15,0
"52","Taxi rank",50,15,0
"53","Taxi rank",50,15,0
"54","Taxi rank",50,15,0
"55","Taxi rank",50,15,0
"56","Taxi rank",50,15,0
"57","Taxi rank",50,15,0
"58","Taxi rank",50,15,0
"59","Taxi rank",50,15,0
"60","Taxi rank",50,15,0
"61","Taxi rank",50,15,0
"62","Taxi rank",50,15,0
"63","Taxi rank",50,15,0
"64","Taxi rank",50,15,0
"65","Taxi rank",50,15,0
"66","Taxi rank",50,15,0
"67","Taxi rank",50,15,0
"68","Taxi rank",50,15,0
"69","Taxi rank",50,15,0
"70","Taxi rank",50,15,0
"71","Taxi rank",50,15,0
"72","Taxi rank",50,15,0
"73","Taxi rank",50,15,0
"74","Taxi rank",50,15,0
"75","Taxi rank",50,15,0
"76","Taxi rank",50,15,0
"77","Taxi rank",50,15,0
"78","Taxi rank",50,15,0
"79","Taxi rank",50,15,0
"80","Taxi rank",50,15,0
"81","Taxi rank",50,15,0
"82","Taxi rank",50,15,0
"83","Taxi rank",50,15,0
"84","Taxi rank",50,15,0
"85","Taxi rank",50,15,0
"86","Taxi rank",50,15,0
"87","Taxi rank",50,15,0
"88","Taxi rank",50,15,0
"89","Taxi rank",50,15,0
"90","Taxi rank",50,15,0
"91","Taxi rank",50,15,0
"92","Taxi rank",50,15,0
"93","Taxi rank",50,15,0
"94","Taxi rank",50,15,0
"95","Taxi rank",50,15,0
"96","Taxi rank",50,15,0
"97","Taxi rank",50,15,0
"98","Taxi rank",50,15,0
"99","Taxi rank",50,15,0
"100","Taxi rank",50,15,0
"101","Taxi rank",50,15,0
"102","Taxi rank",50,15,0
"103","Taxi rank",50,15,0
"104","Taxi rank",50,15,0
"105","Taxi rank",50,15,0
"106","Taxi rank",50,15,0
"107","Taxi rank",50,15,0
"108","Taxi rank",50,15,0
"109","Taxi rank",50,15,0
"110","Taxi rank",50,15,0
"111","Taxi rank",50,15,0
"112","Taxi rank",50,15,0
"113","Taxi rank",50,15,0
"114","Taxi rank",50,15,0
"115","Taxi rank",50,15,0
"116","Taxi rank",50,15,0
"117","Taxi rank",50,15,0
"118","Taxi rank",50,15,0
"119","Taxi rank",50,15,0
"120","Taxi rank",50,15,0
"121","Taxi rank",50,15,0
"122","Taxi rank",50,15,0
"123","Taxi rank",50,15,0
"124","Taxi rank",50,15,0
"125","Taxi rank",50,15,0
"126","Taxi rank",50,15,0
"127","Taxi rank",50,15,0
"128","Taxi rank",50,15,0
"129","Taxi rank",50,15,0
"130","Taxi rank",50,15,0
"131","Taxi rank",50,15,0
"132","Taxi rank",50,15,0
"133","Taxi rank",50,15,0
"134","Taxi rank",50,15,0
"135","Taxi rank",50,15,0
"136","Taxi rank",50,15,0
"137","Taxi rank",50,15,0
"138","Taxi rank",50,15,0
"139","Taxi rank",50,15,0
"140","Taxi rank",50,15,0
"141","Taxi rank",50,15,0
"142","Taxi rank",50,15,0
"143","Taxi rank",50,15,0
"144","Taxi rank",50,15,0
"145","Taxi rank",50,15,0
"146","Taxi rank",50,15,0
"147","Taxi rank",50,15,0
"148","Taxi rank",50,15,0
"149","Taxi rank",50,15,0
"150","Taxi rank",50,15,0
"151","Taxi rank",50,15,0
"152","Taxi rank",50,15,0
"153","Taxi rank",50,15,0
"154","Taxi rank",50,15,0
"155","Taxi rank",50,15,0
"156","Taxi rank",50,15,0
"157","Taxi rank",50,15,0
"158","Taxi rank",50,15,0
"159","Taxi rank",50,15,0
"160","Taxi rank",50,15,0
"161","Taxi rank",50,15,0
"162","Taxi rank",50,15,0
"163","Taxi rank",50,15,0
"164","Taxi rank",50,15,0
"165","Taxi rank",50,15,0
"166","Taxi rank",50,15,0
"167","Taxi rank",50,15,0
"168","Taxi rank",50,15,0
"169","Taxi rank",50,15,0
"170","Taxi rank",50,15,0
"171","Taxi rank",50,15,0
"172","Taxi rank",50,15,0
"173","Taxi rank",50,15,0
"174","Taxi rank",50,15,0
"175","Taxi rank",50,15,0
"176","Taxi rank",50,15,0
"177","Taxi rank",50,15,0
"178","Taxi rank",50,15,0
"179","Taxi rank",50,15,0
"180","Taxi rank",50,15,0
"181","Taxi rank",50,15,0
"182","Taxi rank",50,15,0
"183","Taxi rank",50,15,0
"184","Taxi rank",50,15,0
"185","Taxi rank",50,15,0
"186","Taxi rank",50,15,0
"187","Taxi rank",50,15,0
"188","Taxi rank",50,15,0
"189","Taxi rank",50,15,0
"190","Taxi rank",50,15,0
"191","Taxi rank",50,15,0
"192","Taxi rank",50,15,0
"193","Taxi rank",50,15,0
"194","Taxi rank",50,15,0
"195","Taxi rank",50,15,0
"196","Taxi rank",50,15,0
"197","Taxi rank",50,15,0
"198","Taxi rank",50,15,0
"199","Taxi rank",50,15,0
"200","Taxi rank",50,15,0
"201","Taxi rank",50,15,0
"202","Taxi rank",50,15,0
"203","Taxi rank",50,15,0
"204","Taxi rank",50,15,0
"205","Taxi rank",50,15,0
"206","Taxi rank",50,15,0
"207","Taxi rank",50,15,0
"208","Taxi rank",50,15,0
"209","Taxi rank",50,15,0
"210","Taxi rank",50,15,0
"211","Taxi rank",50,15,0
"212","Taxi rank",50,15,0
"213","Taxi rank",50,15,0
"214","Taxi rank",50,15,0
"215","Taxi rank",50,15,0
"216","Taxi rank",50,15,0
"217","Taxi rank",50,15,0
"218","Taxi rank",50,15,0
"219","Taxi rank",50,15,0
"220","Taxi rank",50,15,0
"221","Taxi rank",50,15,0
"222","Taxi rank",50,15,0
"223","Taxi rank",50,15,0
"224","Taxi rank",50,15,0
"225","Taxi rank",50,15,0
"226","Taxi rank",50,15,0
"227","Taxi rank",50,15,0
"228","Taxi rank",50,15,0
"229","Taxi rank",50,15,0
"230","Taxi rank",50,15,0
"231","Taxi rank",50,15,0
"232","Taxi rank",50,15,0
"233","Taxi rank",50,15,0
"234","Taxi rank",50,15,0
"235","Taxi rank",50,15,0
"236","Taxi rank",50,15,0
"237","Taxi rank",50,15,0
"238","Taxi rank",50,15,0
"239","Taxi rank",50,15,0
"240","Taxi rank",50,15,0
"241","Taxi rank",50,15,0
"242","Taxi rank",50,15,0
"243","Taxi rank",50,15,0
"244","Taxi rank",50,15,0
"245","Taxi rank",50,15,0
"246","Taxi rank",50,15,0
"247","Taxi rank",50,15,0
"248","Taxi rank",50,15,0
"249","Taxi rank",50,15,0
"250","Taxi rank",50,15,0
"251","Taxi rank",50,15,0
"252","Taxi rank",50,15,0
"253","Taxi rank",50,15,0
"254","Taxi rank",50,15,0
"255","Taxi rank",50,15,0
"256","Taxi rank",50,15,0
"257","Taxi rank",50,15,0
"258","Taxi rank",50,15,0
"259","Taxi rank",50,15,0
"260","Taxi rank",50,15,0
"261","Taxi rank",50,15,0
"262","Taxi rank",50,15,0
"263","Taxi rank",50,15,0
"264","Taxi rank",50,15,0
"265","Taxi rank",50,15,0
"266","Taxi rank",50,15,0
"267","Taxi rank",50,15,0
"268","Taxi rank",50,15,0
"269","Taxi rank",50,15,0
"270","Taxi rank",50,15,0
"271","Taxi rank",50,15,0
"272","Taxi rank",50,15,0
"273","Taxi rank",50,15,0
"274","Taxi rank",50,15,0
"275","Taxi rank",50,15,0
"276","Taxi rank",50,15,0
"277","Taxi rank",50,15,0
"278","Taxi rank",50,15,0
"279","Taxi rank",50,15,0
"280","Taxi rank",50,15,0
"281","Taxi rank",50,15,0
"282","Taxi rank",50,15,0
"283","Taxi rank",50,15,0
"284","Taxi rank",50,15,0
"285","Taxi rank",50,15,0
"286","Taxi rank",50,15,0
"287","Taxi rank",50,15,0
"288","Taxi rank",50,15,0
"289","Taxi rank",50,15,0
"290","Taxi rank",50,15,0
"291","Taxi rank",50,15,0
"292","Taxi rank",50,15,0
"293","Taxi rank",50,15,0
"294","Taxi rank",50,15,0
"295","Taxi rank",50,15,0
"296","Taxi rank",50,15,0
"297","Taxi rank",50,15,0
"298","Taxi rank",50,15,0
"299","Taxi rank",50,15,0
"300","Taxi rank",50,15,0
"301","Taxi rank",50,15,0
"302","Taxi rank",50,15,0
"303","Taxi rank",50,15,0
"304","Taxi rank",50,15,0
"305","Taxi rank",50,15,0
"306","Taxi rank",50,15,0
"307","Taxi rank",50,15,0
"308","Taxi rank",50,15,0
"309","Taxi rank",50,15,0
"310","Taxi rank",50,15,0
"311","Taxi rank",50,15,0
"312","Taxi rank",50,15,0
"313","Taxi rank",50,15,0
"314","Taxi rank",50,15,0
"315","Taxi rank",50,15,0
"316","Taxi rank",50,15,0
"317","Taxi rank",50,15,0
"318","Taxi rank",50,15,0
"319","Taxi rank",50,15,0
"320","Taxi rank",50,15,0
"321","Taxi rank",50,15,0
"322","Taxi rank",50,15,0
"323","Taxi rank",50,15,0
"324","Taxi rank",50,15,0
"325","Taxi rank",50,15,0
"326","Taxi rank",50,15,0
"327","Taxi rank",50,15,0
"328","Taxi rank",50,15,0
"329","Taxi rank",50,15,0
"330","Taxi rank",50,15,0
"331","Taxi rank",50,15,0
"332","Taxi rank",50,15,0
"333","Taxi rank",50,15,0
"334","Taxi rank",50,15,0
"335","Taxi rank",50,15,0
"336","Taxi rank",50,15,0
"337","Taxi rank",50,15,0
"338","Taxi rank",50,15,0
"339","Taxi rank",50,15,0
"340","Taxi rank",50,15,0
"341","Taxi rank",50,15,0
"342","Taxi rank",50,15,0
"343","Taxi rank",50,15,0
"344","Taxi rank",50,15,0
"345","Taxi rank",50,15,0
"346","Taxi rank",50,15,0
"347","Taxi rank",50,15,0
"348","Taxi rank",50,15,0
"349","Taxi rank",50,15,0
"350","Taxi rank",50,15,0
"351","Taxi rank",50,15,0
"352","Taxi rank",50,15,0
"353","Taxi rank",50,15,0
"354","Taxi rank",50,15,0
"355","Taxi rank",50,15,0
"356","Taxi rank",50,15,0
"357","Taxi rank",50,15,0
"358","Taxi rank",50,15,0
"359","Taxi rank",50,15,0
"360","Taxi rank",50,15,0
"361","Taxi rank",50,15,0
"362","Taxi rank",50,15,0
"363","Taxi rank",50,15,0
"364","Taxi rank",50,15,0
"365","Taxi rank",50,15,0
"366","Taxi rank",50,15,0
"367","Taxi rank",50,15,0
"368","Taxi rank",50,15,0
"369","Taxi rank",50,15,0
"370","Taxi rank",50,15,0
"371","Taxi rank",50,15,0
"372","Taxi rank",50,15,0
"373","Taxi rank",50,15,0
"374","Taxi rank",50,15,0
"375","Taxi rank",50,15,0
"376","Taxi rank",50,15,0
"377","Taxi rank",50,15,0
"378","Taxi rank",50,15,0
"379","Taxi rank",50,15,0
"380","Taxi rank",50,15,0
"381","Taxi rank",50,15,0
"382","Taxi rank",50,15,0
"383","Taxi rank",50,15,0
"384","Taxi rank",50,15,0
"385","Taxi rank",50,15,0
"386","Taxi rank",50,15,0
"387","Taxi rank",50,15,0
"388","Taxi rank",50,15,0
"389","Taxi rank",50,15,0
"390","Taxi rank",50,15,0
"391","Taxi rank",50,15,0
"392","Taxi rank",50,15,0
"393","Taxi rank",50,15,0
"394","Taxi rank",50,15,0
"395","Taxi rank",50,15,0
"396","Taxi rank",50,15,0
"397","Taxi rank",50,15,0
"398","Taxi rank",50,15,0
"399","Taxi rank",50,15,0
"400","Taxi rank",50,15,0
"401","Taxi rank",50,15,0
"402","Taxi rank",50,15,0
"403","Taxi rank",50,15,0
"404","Taxi rank",50,15,0
"405","Taxi rank",50,15,0
"406","Taxi rank",50,15,0
"407","Taxi rank",50,15,0
"408","Taxi rank",50,15,0
"409","Taxi rank",50,15,0
"410","Taxi rank",50,15,0
"411","Taxi rank",50,15,0
"412","Taxi rank",50,15,0
"413","Taxi rank",50,15,0
"414","Taxi rank",50,15,0
"415","Taxi rank",50,15,0
"416","Taxi rank",50,15,0
"417","Taxi rank",50,15,0
"418","Taxi rank",50,15,0
"419","Taxi rank",50,15,0
"420","Taxi rank",50,15,0
"421","Taxi rank",50,15,0
"422","Taxi rank",50,15,0
"423","Taxi rank",50,15,0
"424","Taxi rank",50,15,0
"425","Taxi rank",50,15,0
"426","Taxi rank",50,15,0
"427","Taxi rank",50,15,0
"428","Taxi rank",50,15,0
"429","Taxi rank",50,15,0
"430","Taxi rank",50,15,0
"431","Taxi rank",50,15,0
"432","Taxi rank",50,15,0
"433","Taxi rank",50,15,0
"434","Taxi rank",50,15,0
"435","Taxi rank",50,15,0
"436","Taxi rank",50,15,0
"437","Taxi rank",50,15,0
"438","Taxi rank",50,15,0
"439","Taxi rank",50,15,0
"440","Taxi rank",50,15,0
"441","Taxi rank",50,15,0
"442","Taxi rank",50,15,0
"443","Taxi rank",50,15,0
"444","Taxi rank",50,15,0
"445","Taxi rank",50,15,0
"446","Taxi rank",50,15,0
"447","Taxi rank",50,15,0
"448","Taxi rank",50,15,0
"449","Taxi rank",50,15,0
"450","Taxi rank",50,15,0
"451","Taxi rank",50,15,0
"452","Taxi rank",50,15,0
"453","Taxi rank",50,15,0
"454","Taxi rank",50,15,0
"455","Taxi rank",50,15,0
"456","Taxi rank",50,15,0
"457","Taxi rank",50,15,0
"458","Taxi rank",50,15,0
"459","Taxi rank",50,15,0
"460","Taxi rank",50,15,0
"461","Taxi rank",50,15,0
"462","Taxi rank",50,15,0
"463","Taxi rank",50,15,0
"464","Taxi rank",50,15,0
"465","Taxi rank",50,15,0
"466","Taxi rank",50,15,0
"467","Taxi rank",50,15,0
"468","Taxi rank",50,15,0
"469","Taxi rank",50,15,0
"470","Taxi rank",50,15,0
"471","Taxi rank",50,15,0
"472","Taxi rank",50,15,0
"473","Taxi rank",50,15,0
"474","Taxi rank",50,15,0
"475","Taxi rank",50,15,0
"476","Taxi rank",50,15,0
"477","Taxi rank",50,15,0
"478","Taxi rank",50,15,0
"479","Taxi rank",50,15,0
"480","Taxi rank",50,15,0
"481","Taxi rank",50,15,0
"482","Taxi rank",50,15,0
"483","Taxi rank",50,15,0
"484","Taxi rank",50,15,0
"485","Taxi rank",50,15,0
"486","Taxi rank",50,15,0
"487","Taxi rank",50,15,0
"488","Taxi rank",50,15,0
"489","Taxi rank",50,15,0
"490","Taxi rank",50,15,0
"491","Taxi rank",50,15,0
"492","Taxi rank",50,15,0
"493","Taxi rank",50,15,0
"494","Taxi rank",50,15,0
"495","Taxi rank",50,15,0
"496","Taxi rank",50,15,0
"497","Taxi rank",50,15,0
"498","Taxi rank",50,15,0
"499","Taxi rank",50,15,0
"500","Taxi rank",50,15,0
"501","Taxi rank",50,15,0
"502","Taxi rank",50,15,0
"503","Taxi rank",50,15,0
"504","Taxi rank",50,15,0
"505","Taxi rank",50,15,0
"506","Taxi rank",50,15,0
"507","Taxi rank",50,15,0
"508","Taxi rank",50,15,0
"509","Taxi rank",50,15,0
"510","Taxi rank",50,15,0
"511","Taxi rank",50,15,0
"512","Taxi rank",50,15,0
"513","Taxi rank",50,15,0
"514","Taxi rank",50,15,0
"515","Taxi rank",50,15,0
"516","Taxi rank",50,15,0
"517","Taxi rank",50,15,0
"518","Taxi rank",50,15,0
"519","Taxi rank",50,15,0
"520","Taxi rank",50,15,0
"521","Taxi rank",50,15,0
"522","Taxi rank",50,15,0
"523","Taxi rank",50,15,0
"524","Taxi rank",50,15,0
"525","Taxi rank",50,15,0
"526","Taxi rank",50,15,0
"527","Taxi rank",50,15,0
"528","Taxi rank",50,15,0
"529","Taxi rank",50,15,0
"530","Taxi rank",50,15,0
"531","Taxi rank",50,15,0
"532","Taxi rank",50,15,0
"533","Taxi rank",50,15,0
"534","Taxi rank",50,15,0
"535","Taxi rank",50,15,0
"536","Taxi rank",50,15,0
"537","Taxi rank",50,15,0
"538","Taxi rank",50,15,0
"539","Taxi rank",50,15,0
"540","Taxi rank",50,15,0
"541","Taxi rank",50,15,0
"542","Taxi rank",50,15,0
"543","Taxi rank",50,15,0
"544","Taxi rank",50,15,0
"545","Taxi rank",50,15,0
"546","Taxi rank",50,15,0
"547","Taxi rank",50,15,0
"548","Taxi rank",50,15,0
"549","Taxi rank",50,15,0
"550","Taxi rank",50,15,0
"551","Taxi rank",50,15,0
"552","Taxi rank",50,15,0
"553","Taxi rank",50,15,0
"554","Taxi rank",50,15,0
"555","Taxi rank",50,15,0
"556","Taxi rank",50,15,0
"557","Taxi rank",50,15,0
"558","Taxi rank",50,15,0
"559","Taxi rank",50,15,0
"560","Taxi rank",50,15,0
"561","Taxi rank",50,15,0
"562","Taxi rank",50,15,0
"563","Taxi rank",50,15,0
"564","Taxi rank",50,15,0
"565","Taxi rank",50,15,0
"566","Taxi rank",50,15,0
"567","Taxi rank",50,15,0
"568","Taxi rank",50,15,0
"569","Taxi rank",50,15,0
"570","Taxi rank",50,15,0
"571","Taxi rank",50,15,0
"572","Taxi rank",50,15,0
"573","Taxi rank",50,15,0
"574","Taxi rank",50,15,0
"575","Taxi rank",50,15,0
"576","Taxi rank",50,15,0
"577","Taxi rank",50,15,0
"578","Taxi rank",50,15,0
"579","Taxi rank",50,15,0
"580","Taxi rank",50,15,0
"581","Taxi rank",50,15,0
"582","Taxi rank",50,15,0
"583","Taxi rank",50,15,0
"584","Taxi rank",50,15,0
"585","Taxi rank",50,15,0
"586","Taxi rank",50,15,0
"587","Taxi rank",50,15,0
"588","Taxi rank",50,15,0
"589","Taxi rank",50,15,0
"590","Taxi rank",50,15,0
"591","Taxi rank",50,15,0
"592","Taxi rank",50,15,0
"593","Taxi rank",50,15,0
"594","Taxi rank",50,15,0
"595","Taxi rank",50,15,0
"596","Taxi rank",50,15,0
"597","Taxi rank",50,15,0
"598","Taxi rank",50,15,0
"599","Taxi rank",50,15,0
"600","Taxi rank",50,15,0
"601","Taxi rank",50,15,0
"602","Taxi rank",50,15,0
"603","Taxi rank",50,15,0
"604","Taxi rank",50,15,0
"605","Taxi rank",50,15,0
"606","Taxi rank",50,15,0
"607","Taxi rank",50,15,0
"608","Taxi rank",50,15,0
"609","Taxi rank",50,15,0
"610","Taxi rank",50,15,0
"611","Taxi rank",50,15,0
"612","Taxi rank",50,15,0
"613","Taxi rank",50,15,0
"614","Taxi rank",50,15,0
"615","Taxi rank",50,15,0
"616","Taxi rank",50,15,0
"617","Taxi rank",50,15,0
"618","Taxi rank",50,15,0
"619","Taxi rank",50,15,0
"620","Taxi rank",50,15,0
"621","Taxi rank",50,15,0
"622","Taxi rank",50,15,0
"623","Taxi rank",50,15,0
"624","Taxi rank",50,15,0
"625","Taxi rank",50,15,0
"626","Taxi rank",50,15,0
"627","Taxi rank",50,15,0
"628","Taxi rank",50,15,0
"629","Taxi rank",50,15,0
"630","Taxi rank",50,15,0
"631","Taxi rank",50,15,0
"632","Taxi rank",50,15,0
"633","Taxi rank",50,15,0
"634","Taxi rank",50,15,0
"635","Taxi rank",50,15,0
"636","Taxi rank",50,15,0
"637","Taxi rank",50,15,0
"638","Taxi rank",50,15,0
"639","Taxi rank",50,15,0
"640","Taxi rank",50,15,0
"641","Taxi rank",50,15,0
"642","Taxi rank",50,15,0
"643","Taxi rank",50,15,0
"644","Taxi rank",50,15,0
"645","Taxi rank",50,15,0
"646","Taxi rank",50,15,0
"647","Taxi rank",50,15,0
"648","Taxi rank",50,15,0
"649","Taxi rank",50,15,0
"650","Taxi rank",50,15,0
"651","Taxi rank",50,15,0
"652","Taxi rank",50,15,0
"653","Taxi rank",50,15,0
"654","Taxi rank",50,15,0
"655","Taxi rank",50,15,0
"656","Taxi rank",50,15,0
"657","Taxi rank",50,15,0
"658","Taxi rank",50,15,0
"659","Taxi rank",50,15,0
"660","Taxi rank",50,15,0
"661","Taxi rank",50,15,0
"662","Taxi rank",50,15,0
"663","Taxi rank",50,15,0
"664","Taxi rank",50,15,0
"665","Taxi rank",50,15,0
"666","Taxi rank",50,15,0
"667","Taxi rank",50,15,0
"668","Taxi rank",50,15,0
"669","Taxi rank",50,15,0
"670","Taxi rank",50,15,0
"671","Taxi rank",50,15,0
"672","Taxi rank",50,15,0
"673","Taxi rank",50,15,0
"674","Taxi rank",50,15,0
"675","Taxi rank",50,15,0
"676","Taxi rank",50,15,0
"677","Taxi rank",50,15,0
"678","Taxi rank",50,15,0
"679","Taxi rank",50,15,0
"680","Taxi rank",50,15,0
"681","Taxi rank",50,15,0
"682","Taxi rank",50,15,0
"683","Taxi rank",50,15,0
"684","Taxi rank",50,15,0
"685","Taxi rank",50,15,0
"686","Taxi rank",50,15,0
"687","Taxi rank",50,15,0
"688","Taxi rank",50,15,0
"689","Taxi rank",50,15,0
"690","Taxi rank",50,15,0
"691","Taxi rank",50,15,0
"692","Taxi rank",50,15,0
"693","Taxi rank",50,15,0
"694","Taxi rank",50,15,0
"695","Taxi rank",50,15,0
"696","Taxi rank",50,15,0
"697","Taxi rank",50,15,0
"698","Taxi rank",50,15,0
