"id","opportunity","percentile","cutoff","accessibility"
"1","Underground entrance",50,15,11
"2","Underground entrance",50,15,3
"3","Underground entrance",50,15,1
"4","Underground entrance",50,15,0
"5","Underground entrance",50,15,0
"6","Underground entrance",50,15,0
"7","Underground entrance",50,15,11
"8","Underground entrance",50,15,0
"9","Underground entrance",50,15,0
"10","Underground entrance",50,15,0
"11","Underground entrance",50,15,0
"12","Underground entrance",50,15,0
"13","Underground entrance",50,15,0
"14","Underground entrance",50,15,11
"15","Underground entrance",50,15,0
"16","Underground entrance",50,15,1
"17","Underground entrance",50,15,0
"18","Underground entrance",50,15,0
"19","Underground entrance",50,15,0
"20","Underground entrance",50,15,0
"21","Underground entrance",50,15,1
"22","Underground entrance",50,15,11
"23","Underground entrance",50,15,0
"24","Underground entrance",50,15,0
"25","Underground entrance",50,15,0
"26","Underground entrance",50,15,0
"27","Underground entrance",50,15,0
"28","Underground entrance",50,15,1
"29","Underground entrance",50,15,1
"30","Underground entrance",50,15,0
"31","Underground entrance",50,15,0
"32","Underground entrance",50,15,0
"33","Underground entrance",50,15,0
"34","Underground entrance",50,15,0
"35","Underground entrance",50,15,0
"36","Underground entrance",50,15,0
"37","Underground entrance",50,15,0
"38","Underground entrance",50,15,0
"39","Underground entrance",50,15,10
"40","Underground entrance",50,15,0
"41","Underground entrance",50,15,5
"42","Underground entrance",50,15,0
"43","Underground entrance",50,15,0
"44","Underground entrance",50,15,0
"45","Underground entrance",50,15,0
"46","Underground entrance",50,15,5
"47","Underground entrance",50,15,0
"48","Underground entrance",50,15,0
"49","Underground entrance",50,15,0
"50","Underground entrance",50,15,0
"51","Underground entrance",50,15,0
"52","Underground entrance",50,15,0
"53","Underground entrance",50,15,2
"54","Underground entrance",50,15,0
"55","Underground entrance",50,15,0
"56","Underground entrance",50,15,0
"57","Underground entrance",50,15,1
"58","Underground entrance",50,15,10
"59","Underground entrance",50,15,0
"60","Underground entrance",50,15,9
"61","Underground entrance",50,15,9
"62","Underground entrance",50,15,0
"63","Underground entrance",50,15,3
"64","Underground entrance",50,15,3
"65","Underground entrance",50,15,0
"66","Underground entrance",50,15,0
"67","Underground entrance",50,15,2
"68","Underground entrance",50,15,4
"69","Underground entrance",50,15,0
"70","Underground entrance",50,15,0
"71","Underground entrance",50,15,0
"72","Underground entrance",50,15,0
"73","Underground entrance",50,15,1
"74","Underground entrance",50,15,3
"75","Underground entrance",50,15,0
"76","Underground entrance",50,15,8
"77","Underground entrance",50,15,2
"78","Underground entrance",50,15,0
"79","Underground entrance",50,15,3
"80","Underground entrance",50,15,0
"81","Underground entrance",50,15,0
"82","Underground entrance",50,15,5
"83","Underground entrance",50,15,5
"84","Underground entrance",50,15,5
"85","Underground entrance",50,15,2
"86","Underground entrance",50,15,0
"87","Underground entrance",50,15,1
"88","Underground entrance",50,15,2
"89","Underground entrance",50,15,8
"90","Underground entrance",50,15,8
