name,pointx_class,lat,lon,poi_class,Entertainment,Gambling,Sports
Alexandra Palace,4250762.0,51.59449755081462,-0.1304541509358647,Entertainment,1,0,0
Hillcroft C C Ltd,4240299.0,51.3274959059072,-0.327096892810372,Sports,0,0,1
Spirit Health Club Brentwood,4240293.0,51.61071534519985,0.2687034513389333,Sports,0,0,1
Belvedere Sports & Social Club,4250314.0,51.48198745810284,0.1362253995170728,Entertainment,1,0,0
The Cherry Red Records Stadium (AFC Wimbledon Ltd),4240302.0,51.43114158171768,-0.187265926897696,Sports,0,0,1
Jazz After Dark Ltd,4250312.0,51.51449191380531,-0.1310366203093376,Entertainment,1,0,0
Pit Theatre at the Barbican,4250315.0,51.51996078714067,-0.0941300160380609,Entertainment,1,0,0
Wembley Arena,4250762.0,51.55790849028172,-0.2835293624235097,Entertainment,1,0,0
Herne Hill Velodrome,4240306.0,51.451240307070265,-0.0904864169344056,Sports,0,0,1
Richmond Theatre (Ambassador Theatre Group),4250315.0,51.46207519453651,-0.303797429225034,Entertainment,1,0,0
Ambassador Fortune Theatre,4250315.0,51.51331118549721,-0.1207370714747479,Entertainment,1,0,0
Top Gold,4240292.0,51.641872182280885,0.0941864202187427,Sports,0,0,1
Velodrome,4240306.0,51.55043146986271,-0.0152977343528516,Sports,0,0,1
West Five Bar,4250312.0,51.49855791662966,-0.3032213886263881,Entertainment,1,0,0
Brixton Jamm,4250312.0,51.47079606788861,-0.1118872110763845,Entertainment,1,0,0
The Pod Bar,4250312.0,51.41925135140586,-0.201140719792824,Entertainment,1,0,0
The Griffin,4250312.0,51.52162787996487,-0.112250390979091,Entertainment,1,0,0
Beduin,4250312.0,51.51932038322415,-0.1035532590113084,Entertainment,1,0,0
Camden Comedy Club,4250315.0,51.53735402494789,-0.1408572935535471,Entertainment,1,0,0
Mint Group,4250312.0,51.46313217436517,-0.1359141986083634,Entertainment,1,0,0
The White Swan,4250312.0,51.51254934699765,-0.041200173829713,Entertainment,1,0,0
Trinity,4210273.0,51.57917873670466,-0.3336896040149463,Entertainment,1,0,0
Arcadia,4250312.0,51.45745072020395,0.1379296748797021,Entertainment,1,0,0
Troy Bar & Restaurant Ltd,4250312.0,51.527683062414354,-0.0800367210328561,Entertainment,1,0,0
Maddox Club,4250312.0,51.512674201279424,-0.1422802112284748,Entertainment,1,0,0
Little Ship Club,4250314.0,51.50977851455425,-0.0929683315673213,Entertainment,1,0,0
Bacchus,4250312.0,51.40991704087833,-0.3052738987516689,Entertainment,1,0,0
Thirst Bar,4250312.0,51.51427944700704,-0.131247090122207,Entertainment,1,0,0
China & Co Ltd,4210273.0,51.50573991055401,-0.2588473906540828,Entertainment,1,0,0
Dans le Noir,4210273.0,51.52290025647065,-0.106388468622619,Entertainment,1,0,0
Suzanne James Ltd,4210273.0,51.457757361099695,-0.0666791790342102,Entertainment,1,0,0
Balloon Events,4210273.0,51.37136715754868,-0.2421114044393781,Entertainment,1,0,0
Rockbottom Music Shop,4250315.0,51.37949036247935,-0.103892278680298,Entertainment,1,0,0
Tennis Academy,4240305.0,51.31028505366569,0.190198912803012,Sports,0,0,1
Future Cheer,4210273.0,51.33288852530683,-0.1596195231027876,Entertainment,1,0,0
St George's Hill Golf Club,4240292.0,51.34653150459996,-0.4491895837248572,Sports,0,0,1
Stapleford Abbotts Golf Club,4240292.0,51.6318950156912,0.1996468933878988,Sports,0,0,1
Cray Valley Club House,4250314.0,51.40513102658083,0.1309447519634855,Entertainment,1,0,0
Pachesham Golf Centre,4240292.0,51.31311616648606,-0.3473209352797254,Sports,0,0,1
P J Music,4210276.0,51.59862678407755,-0.0262069292745696,Entertainment,1,0,0
Odeon Cinemas,4250308.0,51.45849763741106,-0.3051391904965174,Entertainment,1,0,0
