"name","pointx_class","lat","lon","poi_class","Entertainment","Gambling","Sports","id"
"Alexandra Palace",4250762,51.5944975508146,-0.130454150935865,"Entertainment",1,0,0,1
"Hillcroft C C Ltd",4240299,51.3274959059072,-0.327096892810372,"Sports",0,0,1,2
"Spirit Health Club Brentwood",4240293,51.6107153451998,0.268703451338933,"Sports",0,0,1,3
"Belvedere Sports & Social Club",4250314,51.4819874581028,0.136225399517073,"Entertainment",1,0,0,4
"The Cherry Red Records Stadium (AFC Wimbledon Ltd)",4240302,51.4311415817177,-0.187265926897696,"Sports",0,0,1,5
"Jazz After Dark Ltd",4250312,51.5144919138053,-0.131036620309338,"Entertainment",1,0,0,6
"Pit Theatre at the Barbican",4250315,51.5199607871407,-0.0941300160380609,"Entertainment",1,0,0,7
"Wembley Arena",4250762,51.5579084902817,-0.28352936242351,"Entertainment",1,0,0,8
"Herne Hill Velodrome",4240306,51.4512403070703,-0.0904864169344056,"Sports",0,0,1,9
"Richmond Theatre (Ambassador Theatre Group)",4250315,51.4620751945365,-0.303797429225034,"Entertainment",1,0,0,10
"Ambassador Fortune Theatre",4250315,51.5133111854972,-0.120737071474748,"Entertainment",1,0,0,11
"Top Gold",4240292,51.6418721822809,0.0941864202187427,"Sports",0,0,1,12
"Velodrome",4240306,51.5504314698627,-0.0152977343528516,"Sports",0,0,1,13
"West Five Bar",4250312,51.4985579166297,-0.303221388626388,"Entertainment",1,0,0,14
"Brixton Jamm",4250312,51.4707960678886,-0.111887211076384,"Entertainment",1,0,0,15
"The Pod Bar",4250312,51.4192513514059,-0.201140719792824,"Entertainment",1,0,0,16
"The Griffin",4250312,51.5216278799649,-0.112250390979091,"Entertainment",1,0,0,17
"Beduin",4250312,51.5193203832241,-0.103553259011308,"Entertainment",1,0,0,18
"Camden Comedy Club",4250315,51.5373540249479,-0.140857293553547,"Entertainment",1,0,0,19
"Mint Group",4250312,51.4631321743652,-0.135914198608363,"Entertainment",1,0,0,20
"The White Swan",4250312,51.5125493469977,-0.041200173829713,"Entertainment",1,0,0,21
"Trinity",4210273,51.5791787367047,-0.333689604014946,"Entertainment",1,0,0,22
"Arcadia",4250312,51.457450720204,0.137929674879702,"Entertainment",1,0,0,23
"Troy Bar & Restaurant Ltd",4250312,51.5276830624144,-0.0800367210328561,"Entertainment",1,0,0,24
"Maddox Club",4250312,51.5126742012794,-0.142280211228475,"Entertainment",1,0,0,25
"Little Ship Club",4250314,51.5097785145542,-0.0929683315673213,"Entertainment",1,0,0,26
"Bacchus",4250312,51.4099170408783,-0.305273898751669,"Entertainment",1,0,0,27
"Thirst Bar",4250312,51.514279447007,-0.131247090122207,"Entertainment",1,0,0,28
"China & Co Ltd",4210273,51.505739910554,-0.258847390654083,"Entertainment",1,0,0,29
"Dans le Noir",4210273,51.5229002564706,-0.106388468622619,"Entertainment",1,0,0,30
"Suzanne James Ltd",4210273,51.4577573610997,-0.0666791790342102,"Entertainment",1,0,0,31
"Balloon Events",4210273,51.3713671575487,-0.242111404439378,"Entertainment",1,0,0,32
"Rockbottom Music Shop",4250315,51.3794903624794,-0.103892278680298,"Entertainment",1,0,0,33
"Tennis Academy",4240305,51.3102850536657,0.190198912803012,"Sports",0,0,1,34
"Future Cheer",4210273,51.3328885253068,-0.159619523102788,"Entertainment",1,0,0,35
"St George's Hill Golf Club",4240292,51.3465315046,-0.449189583724857,"Sports",0,0,1,36
"Stapleford Abbotts Golf Club",4240292,51.6318950156912,0.199646893387899,"Sports",0,0,1,37
"Cray Valley Club House",4250314,51.4051310265808,0.130944751963486,"Entertainment",1,0,0,38
"Pachesham Golf Centre",4240292,51.3131161664861,-0.347320935279725,"Sports",0,0,1,39
"P J Music",4210276,51.5986267840776,-0.0262069292745696,"Entertainment",1,0,0,40
"Odeon Cinemas",4250308,51.4584976374111,-0.305139190496517,"Entertainment",1,0,0,41
"Odeon Cinemas",4250308,51.558717165808,-0.12147710250563,"Entertainment",1,0,0,42
"Electric House",4250308,51.5155226353638,-0.205090147206454,"Entertainment",1,0,0,43
"Mo Phatzone Promotions",4210276,51.5808475560691,-0.0186780938360941,"Entertainment",1,0,0,44
"Knight Fantastic Com",4210276,51.3928787946582,-0.251219423811423,"Entertainment",1,0,0,45
"Curzon",4250308,51.5127934283326,-0.130484984818849,"Entertainment",1,0,0,46
"Astro Discos",4210276,51.5886532724892,0.210978973317524,"Entertainment",1,0,0,47
"Phoenix Cinema",4250308,51.5885045035383,-0.163684652295148,"Entertainment",1,0,0,48
"Micks Disco",4210276,51.5217899360253,-0.33810582138587,"Entertainment",1,0,0,49
"Odeon Cinemas",4250308,51.5145743881103,-0.188740575467957,"Entertainment",1,0,0,50
"Odeon Cinemas",4250308,51.5097089815633,-0.130540640088035,"Entertainment",1,0,0,51
"Vue Cinemas",4250308,51.5341652318739,-0.106223791174595,"Entertainment",1,0,0,52
"Spectrum Disco",4210276,51.44012084019,-0.527762595260083,"Entertainment",1,0,0,53
"Cloud 9 Revival Disco",4210276,51.3071602869516,-0.32855954346336,"Entertainment",1,0,0,54
"Gallery 8 Management Ltd",4250762,51.5072010906561,-0.137387238771557,"Entertainment",1,0,0,55
"The Lacquer Chest",4210273,51.5046586661639,-0.193888833106195,"Entertainment",1,0,0,56
"Contemporary Wardrobe Collection",4210273,51.5227932439699,-0.124354120689232,"Entertainment",1,0,0,57
"Splats Entertainment",4210273,51.5822733421266,-0.195313518926416,"Entertainment",1,0,0,58
"B J Hardware Ltd",4210273,51.4312104875398,-0.165684011499188,"Entertainment",1,0,0,59
"E M D M Management",4210273,51.47833319306,-0.182076108878741,"Entertainment",1,0,0,60
"The Royal Vauxhall Tavern",4210273,51.4863870207123,-0.121829878873958,"Entertainment",1,0,0,61
"Oasis Sports Centre",4240293,51.515659928614,-0.125901084586638,"Sports",0,0,1,62
"Pippin Puppets",4210273,51.5896250868165,-0.128286654215887,"Entertainment",1,0,0,63
"The Palm Beach Casino",4220280,51.5082019471268,-0.144364306795707,"Gambling",0,1,0,64
"King ' S Head Theatre Pub",4250315,51.5383010120641,-0.1028364520458,"Entertainment",1,0,0,65
"Oily Cart",4210273,51.4307760015489,-0.178765336547771,"Entertainment",1,0,0,66
