"name","pointx_class","lat","lon","poi_class","Bus stop","Railway stations","Taxi rank","Underground entrance","id"
"Bus Stop (Caravan Park)",10590732,51.6488504268645,0.112259414428504,"Bus stop",1,0,0,0,1
"Bus Stop (Coopers Close)",10590732,51.6218434657713,0.120352046644862,"Bus stop",1,0,0,0,2
"Bus Stop (Chapel Field Nursery)",10590732,51.6581214002817,-0.0049427440975242,"Bus stop",1,0,0,0,3
"Bus Stop (Chapel Field Nursery)",10590732,51.6576806068246,-0.0049331880534847,"Bus stop",1,0,0,0,4
"Bus Stop (Woodland Stables)",10590732,51.6562839813463,-0.0052981379697516,"Bus stop",1,0,0,0,5
"Bus Stop (Woodland Stables)",10590732,51.6561474768179,-0.0052029286812605,"Bus stop",1,0,0,0,6
"Bus Stop (Mill Lane)",10590732,51.6539628919257,-0.0062963814832953,"Bus stop",1,0,0,0,7
"Bus Stop (Albion Terrace)",10590732,51.6476438183375,-0.0106932924536302,"Bus stop",1,0,0,0,8
"Bus Stop (Albion Terrace)",10590732,51.6469992174439,-0.010331234877359,"Bus stop",1,0,0,0,9
"Bus Stop (The Rabbits)",10590732,51.6482463182146,0.16857850047098,"Bus stop",1,0,0,0,10
"Bus Stop (The Rabbits)",10590732,51.647964940245,0.168232597053844,"Bus stop",1,0,0,0,11
"Bus Stop (Gordon Cottages)",10590732,51.6451491661874,0.165366340950673,"Bus stop",1,0,0,0,12
"Bus Stop (Gordon Cottages)",10590732,51.6446985935976,0.165417141823556,"Bus stop",1,0,0,0,13
"Bus Stop (Primary School)",10590732,51.6413419293506,0.165546266922479,"Bus stop",1,0,0,0,14
"Bus Stop (Primary School)",10590732,51.6410807637078,0.166054136866914,"Bus stop",1,0,0,0,15
"Bus Stop (The Nursery)",10590732,51.6342611685971,0.171090499055954,"Bus stop",1,0,0,0,16
"Bus Stop (The Nursery)",10590732,51.6332722821691,0.172531693904906,"Bus stop",1,0,0,0,17
"Bus Stop (Bournebridge Lane)",10590732,51.631882432819,0.174257108724689,"Bus stop",1,0,0,0,18
"Bus Stop (Bournebridge Lane)",10590732,51.6314793922569,0.175625047070143,"Bus stop",1,0,0,0,19
"Bus Stop (Tysea Hill)",10590732,51.6270144533495,0.186999291925167,"Bus stop",1,0,0,0,20
"Bus Stop (Tysea Hill)",10590732,51.6268675775248,0.18764241924621,"Bus stop",1,0,0,0,21
"Bus Stop (Little Arnolds)",10590732,51.6569024401028,0.163425337544988,"Bus stop",1,0,0,0,22
"Bus Stop (Crowther Nurseries)",10590732,51.6571454796962,0.144294166066765,"Bus stop",1,0,0,0,23
"Bus Stop (Church Lane)",10590732,51.6571795514399,0.138975137528697,"Bus stop",1,0,0,0,24
"Bus Stop (Church Lane)",10590732,51.6570040235636,0.138243962129569,"Bus stop",1,0,0,0,25
"Bus Stop (Hillmans Cottages)",10590732,51.6562422165285,0.13365384886489,"Bus stop",1,0,0,0,26
"Bus Stop (Hillmans Cottages)",10590732,51.6563042634201,0.133208566752295,"Bus stop",1,0,0,0,27
"Bus Stop (Oak Farm)",10590732,51.6563140777439,0.129695744579838,"Bus stop",1,0,0,0,28
"Bus Stop (Grove Cottage)",10590732,51.6552136580815,0.126405650358987,"Bus stop",1,0,0,0,29
"Bus Stop (Village Hall)",10590732,51.6530265790272,0.123527552819828,"Bus stop",1,0,0,0,30
"Bus Stop (Village Hall)",10590732,51.6521203380288,0.121923879404422,"Bus stop",1,0,0,0,31
"Bus Stop (Piggotts Farm)",10590732,51.6550855207332,0.116076967251503,"Bus stop",1,0,0,0,32
"Bus Stop (Piggotts Farm)",10590732,51.6553232983415,0.115856722176306,"Bus stop",1,0,0,0,33
"Bus Stop (Pilgrims Hall)",10590732,51.6439502591653,0.271171841984696,"Bus stop",1,0,0,0,34
"Bus Stop (Mores Lane)",10590732,51.6473381637935,0.26664318626214,"Bus stop",1,0,0,0,35
"Bus Stop (Mores Lane)",10590732,51.6477295029661,0.266402510257604,"Bus stop",1,0,0,0,36
"Bus Stop (Old Crown Lane)",10590732,51.6521134482355,0.266173060131749,"Bus stop",1,0,0,0,37
"Bus Stop (Old Crown Lane)",10590732,51.6525809049628,0.266181923071492,"Bus stop",1,0,0,0,38
"Bus Stop (Frog Street)",10590732,51.6551061974073,0.267666952413773,"Bus stop",1,0,0,0,39
"Bus Stop (Green Ln)",10590732,51.6571691534366,0.267480780229567,"Bus stop",1,0,0,0,40
"Bus Stop (Coxtie Green Farm)",10590732,51.6393931850775,0.267330882891432,"Bus stop",1,0,0,0,41
"Bus Stop (Holiday Inn)",10590732,51.6098266217583,0.267691421384456,"Bus stop",1,0,0,0,42
"Bus Stop (Maple Gate)",10590732,51.655835815601,0.067909885967141,"Bus stop",1,0,0,0,43
"Bus Stop (Marjorams Ave)",10590732,51.6552323190808,0.0700076624150302,"Bus stop",1,0,0,0,44
"Bus Stop (Wellfields)",10590732,51.65390511432,0.0723470576511929,"Bus stop",1,0,0,0,45
"Bus Stop (Newmans Lane)",10590732,51.6515026686115,0.0770080499757193,"Bus stop",1,0,0,0,46
"Bus Stop (Ibbetson Path)",10590732,51.6499496041054,0.0783826333863667,"Bus stop",1,0,0,0,47
"Bus Stop (Borders Lane)",10590732,51.6476428114744,0.0801707330927071,"Bus stop",1,0,0,0,48
"Bus Stop (Rolls Park Corner)",10590732,51.6354825814322,0.0863774036748571,"Bus stop",1,0,0,0,49
"Bus Stop (Burton Road)",10590732,51.6484157157032,0.084759548217973,"Bus stop",1,0,0,0,50
"Bus Stop (Vere Road)",10590732,51.6489219771931,0.0851152536460316,"Bus stop",1,0,0,0,51
"Bus Stop (Etheridge Road)",10590732,51.6519173998997,0.0845588191979764,"Bus stop",1,0,0,0,52
"Bus Stop (Etheridge Road)",10590732,51.6519132869857,0.0842839578713733,"Bus stop",1,0,0,0,53
"Bus Stop (Mannock Drive)",10590732,51.6528906068038,0.0834324771041322,"Bus stop",1,0,0,0,54
"Bus Stop (Mannock Drive)",10590732,51.6532053607841,0.0839384454034293,"Bus stop",1,0,0,0,55
"Bus Stop (Goldingham Avenue)",10590732,51.6548371123653,0.0857337300206749,"Bus stop",1,0,0,0,56
"Bus Stop (Goldingham Avenue)",10590732,51.6549539207871,0.0857390932477956,"Bus stop",1,0,0,0,57
"Bus Stop (The Cottage Loaf)",10590732,51.656826191201,0.0856371087312979,"Bus stop",1,0,0,0,58
"Bus Stop (The Cottage Loaf)",10590732,51.6570916390109,0.0853745930668735,"Bus stop",1,0,0,0,59
"Bus Stop (Colebrook Lane)",10590732,51.6585500477622,0.083764358199288,"Bus stop",1,0,0,0,60
"Bus Stop (Colebrook Lane)",10590732,51.6587461727989,0.0833540557387954,"Bus stop",1,0,0,0,61
"Bus Stop (Davenant School)",10590732,51.6611901872026,0.0844783256729961,"Bus stop",1,0,0,0,62
"Bus Stop (Chandler Road)",10590732,51.6578552005972,0.0798431876572899,"Bus stop",1,0,0,0,63
"Bus Stop (Chandler Road)",10590732,51.6575748356022,0.0794255190275577,"Bus stop",1,0,0,0,64
"Bus Stop (Pyrles Lane)",10590732,51.6568861076317,0.0766758812310361,"Bus stop",1,0,0,0,65
"Bus Stop (Hillcroft)",10590732,51.6565079184043,0.0736513486736162,"Bus stop",1,0,0,0,66
"Bus Stop (Hillcroft)",10590732,51.656343516401,0.0727763731527536,"Bus stop",1,0,0,0,67
"Bus Stop (Hillyfields)",10590732,51.6561641769053,0.0696886826917969,"Bus stop",1,0,0,0,68
"Bus Stop (The Uplands)",10590732,51.6512053749802,0.0591699722516414,"Bus stop",1,0,0,0,69
"Bus Stop (The Uplands)",10590732,51.6516314709344,0.0599988380042045,"Bus stop",1,0,0,0,70
"Bus Stop (Church Close)",10590732,51.6534399640018,0.0630155924132601,"Bus stop",1,0,0,0,71
"Bus Stop (Church Close)",10590732,51.6542859022724,0.0645141825430389,"Bus stop",1,0,0,0,72
"Bus Stop (Spring Grove)",10590732,51.6406695327032,0.0455983562265083,"Bus stop",1,0,0,0,73
"Bus Stop (The Crescent)",10590732,51.6415242725541,0.0481516604285431,"Bus stop",1,0,0,0,74
"Bus Stop (Upper Park)",10590732,51.6425454197592,0.0494117649464464,"Bus stop",1,0,0,0,75
"Bus Stop (The Crown)",10590732,51.6445998360524,0.0522651372977015,"Bus stop",1,0,0,0,76
"Bus Stop (Forest Road)",10590732,51.6465902451976,0.0541474121971079,"Bus stop",1,0,0,0,77
"Bus Stop (Forest Road)",10590732,51.6469403122202,0.0546980650485625,"Bus stop",1,0,0,0,78
"Bus Stop (Traps Hill)",10590732,51.6492840241472,0.0569434721581519,"Bus stop",1,0,0,0,79
"Bus Stop (Russell Road)",10590732,51.6276637016622,0.0333242685809786,"Bus stop",1,0,0,0,80
"Bus Stop (Russell Road)",10590732,51.6286765544242,0.0340342124789244,"Bus stop",1,0,0,0,81
"Bus Stop (Cricket Ground)",10590732,51.6313302065408,0.0360603017096384,"Bus stop",1,0,0,0,82
"Bus Stop (Cricket Ground)",10590732,51.6317896926272,0.0365288271599939,"Bus stop",1,0,0,0,83
"Bus Stop (North Farm)",10590732,51.6375283687728,0.0411070056075254,"Bus stop",1,0,0,0,84
"Bus Stop (North Farm)",10590732,51.6380791951,0.0414930388855351,"Bus stop",1,0,0,0,85
"Bus Stop (Spring Grove)",10590732,51.6403491446244,0.0448902074462463,"Bus stop",1,0,0,0,86
"Bus Stop (Loughton Library)",10590732,51.6494189283928,0.0584818733676889,"Bus stop",1,0,0,0,87
"Bus Stop (Church Lane)",10590732,51.6488637060846,0.0634727545549916,"Bus stop",1,0,0,0,88
"Bus Stop (Church Lane)",10590732,51.6487887765348,0.0636428166658656,"Bus stop",1,0,0,0,89
"Bus Stop (Oak View School)",10590732,51.648160610474,0.068167681330493,"Bus stop",1,0,0,0,90
"Bus Stop (Oak View School)",10590732,51.648282334609,0.0684045060250659,"Bus stop",1,0,0,0,91
"Bus Stop (Hatfields)",10590732,51.6516052959579,0.0762899248474765,"Bus stop",1,0,0,0,92
"Bus Stop (Hatfields)",10590732,51.6516201559072,0.0759581080901746,"Bus stop",1,0,0,0,93
"Bus Stop (Newmans Close)",10590732,51.6507039588747,0.0738634857917633,"Bus stop",1,0,0,0,94
"Bus Stop (Newmans Close)",10590732,51.650645143474,0.0736295046652703,"Bus stop",1,0,0,0,95
"Bus Stop (Alderton Rise)",10590732,51.646685317126,0.0671754297090064,"Bus stop",1,0,0,0,96
"Bus Stop (Alderton Rise)",10590732,51.6460579504564,0.067566071928402,"Bus stop",1,0,0,0,97
"Bus Stop (The Lindens)",10590732,51.645361243341,0.0678090048013316,"Bus stop",1,0,0,0,98
"Bus Stop (The Lindens)",10590732,51.645014711115,0.0680823207788567,"Bus stop",1,0,0,0,99
"Bus Stop (Deepdene Road)",10590732,51.6441309638854,0.0728119051480534,"Bus stop",1,0,0,0,100
"Bus Stop (Deepdene Road)",10590732,51.6440839971833,0.072925394384805,"Bus stop",1,0,0,0,101
"Bus Stop (Deepdene Path)",10590732,51.6447922242982,0.0745765669339539,"Bus stop",1,0,0,0,102
"Bus Stop (Chequers Road)",10590732,51.6445507915687,0.0760254081675653,"Bus stop",1,0,0,0,103
"Bus Stop (Chequers Road)",10590732,51.644554924327,0.0763002247378536,"Bus stop",1,0,0,0,104
"Bus Stop (Playing Fields)",10590732,51.6450203166441,0.0789666154318469,"Bus stop",1,0,0,0,105
"Bus Stop (Ladyfields)",10590732,51.6454406714793,0.08061919185365,"Bus stop",1,0,0,0,106
"Bus Stop (Ladyfields)",10590732,51.6454029385612,0.080718644809541,"Bus stop",1,0,0,0,107
"Bus Stop (Stonards Hill)",10590732,51.6395301108137,0.0603608325386349,"Bus stop",1,0,0,0,108
"Bus Stop (Roding Road)",10590732,51.641157770184,0.0583100310115469,"Bus stop",1,0,0,0,109
"Bus Stop (Roding Road)",10590732,51.6416733592798,0.0576251775811927,"Bus stop",1,0,0,0,110
"Bus Stop (Loughton Station)",10590732,51.6421447455826,0.054842582093487,"Bus stop",1,0,0,0,111
"Bus Stop (Loughton Station)",10590732,51.6423187551448,0.0546625562866718,"Bus stop",1,0,0,0,112
"Bus Stop (Brook Road)",10590732,51.6434570172751,0.0594981942954277,"Bus stop",1,0,0,0,113
"Bus Stop (Alderton Hall Lane)",10590732,51.6449638881712,0.0638160182713217,"Bus stop",1,0,0,0,114
"Bus Stop (Chigwell Lane)",10590732,51.6431502595943,0.0819886021295099,"Bus stop",1,0,0,0,115
"Bus Stop (Chigwell Lane)",10590732,51.6430272824475,0.0818239784158248,"Bus stop",1,0,0,0,116
"Bus Stop (Oakwood Ind Estate)",10590732,51.6425431445541,0.0781884356474031,"Bus stop",1,0,0,0,117
"Bus Stop (Oakwood Ind Estate)",10590732,51.6423780470042,0.0778629111974145,"Bus stop",1,0,0,0,118
"Bus Stop (Marlescroft Way)",10590732,51.6423979292263,0.0736867859327446,"Bus stop",1,0,0,0,119
"Bus Stop (Marlescroft Way)",10590732,51.642080946704,0.0743227211275023,"Bus stop",1,0,0,0,120
"Bus Stop (Alderton Way)",10590732,51.6400248417856,0.0654705828455337,"Bus stop",1,0,0,0,121
"Bus Stop (Alderton Way)",10590732,51.6398358001798,0.0649706047902709,"Bus stop",1,0,0,0,122
"Bus Stop (South View)",10590732,51.6390933122572,0.0621909299628083,"Bus stop",1,0,0,0,123
"Bus Stop (South View)",10590732,51.6390195452722,0.0617829187001403,"Bus stop",1,0,0,0,124
"Bus Stop (Valley Close)",10590732,51.6384193268253,0.0606284281488156,"Bus stop",1,0,0,0,125
"Bus Stop (Highland Avenue)",10590732,51.6375778890012,0.0588705140614611,"Bus stop",1,0,0,0,126
"Bus Stop (Highland Avenue)",10590732,51.637104069252,0.0581987270924518,"Bus stop",1,0,0,0,127
"Bus Stop (Greensted Rd)",10590732,51.6357759809924,0.0559853572923327,"Bus stop",1,0,0,0,128
"Bus Stop (Greensted Rd)",10590732,51.6351293976459,0.055421425258895,"Bus stop",1,0,0,0,129
"Bus Stop (Pentlow Way)",10590732,51.6329949804262,0.05354752903914,"Bus stop",1,0,0,0,130
"Bus Stop (Pentlow Way)",10590732,51.6325692335847,0.0532103932621569,"Bus stop",1,0,0,0,131
"Bus Stop (Roding View)",10590732,51.6297776045985,0.0498332271731852,"Bus stop",1,0,0,0,132
"Bus Stop (Roding View)",10590732,51.6294611846954,0.0494143835978277,"Bus stop",1,0,0,0,133
"Bus Stop (Hurst Road)",10590732,51.6282193407002,0.048433686144057,"Bus stop",1,0,0,0,134
"Bus Stop (The Green)",10590732,51.6270209531709,0.0340901914845188,"Bus stop",1,0,0,0,135
"Bus Stop (Westbury Road)",10590732,51.627117877156,0.0373165341342108,"Bus stop",1,0,0,0,136
"Bus Stop (Westbury Road)",10590732,51.6272447721504,0.0393305620194293,"Bus stop",1,0,0,0,137
"Bus Stop (Roebuck Lane)",10590732,51.6270168159304,0.0426145833167931,"Bus stop",1,0,0,0,138
"Bus Stop (Roebuck Lane)",10590732,51.6270089026759,0.0441024175068204,"Bus stop",1,0,0,0,139
"Bus Stop (Alfred Road)",10590732,51.6272351194549,0.0502098631986901,"Bus stop",1,0,0,0,140
"Bus Stop (Alfred Road)",10590732,51.6272526769533,0.0497194046467701,"Bus stop",1,0,0,0,141
"Bus Stop (Guru Gobind Singh College)",10590732,51.6264946854179,0.062703161895497,"Bus stop",1,0,0,0,142
"Bus Stop (Guru Gobind Singh College)",10590732,51.6261911661403,0.0635996322592952,"Bus stop",1,0,0,0,143
"Bus Stop (Chester Road)",10590732,51.6225590078254,0.0691703112978065,"Bus stop",1,0,0,0,144
"Bus Stop (Chester Road)",10590732,51.622288760244,0.0697070018862394,"Bus stop",1,0,0,0,145
"Bus Stop (Brook Way)",10590732,51.6214467794018,0.0741038332349955,"Bus stop",1,0,0,0,146
"Bus Stop (Brook Way)",10590732,51.6211463424044,0.0758381764229646,"Bus stop",1,0,0,0,147
"Bus Stop (Beatrice Courtt)",10590732,51.6257486572361,0.0477878131718349,"Bus stop",1,0,0,0,148
"Bus Stop (Cedar Close)",10590732,51.624712379987,0.0473944043797069,"Bus stop",1,0,0,0,149
"Bus Stop (Cedar Close)",10590732,51.6237087703894,0.0471903008400301,"Bus stop",1,0,0,0,150
"Bus Stop (Oak Rise)",10590732,51.6215872543639,0.0466325118219436,"Bus stop",1,0,0,0,151
"Bus Stop (Birch Close)",10590732,51.6213159264339,0.0467214288880571,"Bus stop",1,0,0,0,152
"Bus Stop (Lea Valley Campsite)",10590732,51.6550866047906,-0.0062759799074638,"Bus stop",1,0,0,0,153
"Bus Stop (Stapleford Aerodrome)",10590732,51.6572451734847,0.155547423483912,"Bus stop",1,0,0,0,154
"Bus Stop (Stapleford Aerodrome)",10590732,51.6571494899843,0.155860964653172,"Bus stop",1,0,0,0,155
"Bus Stop (Castell Road)",10590732,51.6594818695685,0.0814213969373651,"Bus stop",1,0,0,0,156
"Bus Stop (Rolls Park Corner)",10590732,51.6352119985239,0.0874343694512562,"Bus stop",1,0,0,0,157
"Bus Stop (Club House)",10590732,51.6142535896766,0.0699769773347606,"Bus stop",1,0,0,0,158
"Bus Stop (Club House)",10590732,51.6138014416368,0.0696097412734877,"Bus stop",1,0,0,0,159
"Bus Stop (Murtwell Dr)",10590732,51.6066486357921,0.0830332360879271,"Bus stop",1,0,0,0,160
"Bus Stop (Linkside)",10590732,51.6116225831354,0.0814555002486304,"Bus stop",1,0,0,0,161
"Bus Stop (Linkside)",10590732,51.6120520603486,0.0810707231844938,"Bus stop",1,0,0,0,162
"Bus Stop (Hainault Grove)",10590732,51.6138536732546,0.0798820338656371,"Bus stop",1,0,0,0,163
"Bus Stop (The Chase)",10590732,51.6160213345091,0.0783344087380539,"Bus stop",1,0,0,0,164
"Bus Stop (Station Road)",10590732,51.61819061193,0.0751687938862457,"Bus stop",1,0,0,0,165
"Bus Stop (St Winifreds Church)",10590732,51.6113682858431,0.0841303675273392,"Bus stop",1,0,0,0,166
"Bus Stop (Millwell Crescent)",10590732,51.6121282460573,0.0874150356206557,"Bus stop",1,0,0,0,167
